nct_id	score
NCT00000492	1.4141895
NCT00043784	1.3004478
NCT00004809	1.2951759
NCT00000620	1.2891854
NCT00013741	1.287839
NCT00004734	1.2763267
NCT00004562	1.2230929
NCT00000526	1.2115915
NCT00001629	1.2019068
NCT00001961	1.199487
NCT00001589	1.1908752
NCT00000161	1.0958717
NCT00027170	1.0940014
NCT00005479	1.0920027
NCT00006305	1.0612003
NCT00001628	1.0484824
NCT00043628	1.0412217
NCT00006501	1.0081122
NCT00001368	1.0027736
NCT00004732	0.96332014
NCT00041938	0.9581421
NCT00000468	0.9429114
NCT00005243	0.9380155
NCT00005189	0.93159884
NCT00005862	0.90416735
NCT00001402	0.8568158
NCT00001631	0.85569924
NCT00001204	0.8486679
NCT00001638	0.84165436
NCT00004890	0.84083384
NCT00000152	0.8361127
NCT00000479	0.8341875
NCT00004161	0.8313271
NCT00004266	0.82736665
NCT00001528	0.81528586
NCT00007800	0.8146564
NCT00003067	0.813654
NCT00001889	0.81264293
NCT00000502	0.80421287
NCT00006071	0.80288905
NCT00004063	0.8004411
NCT00005338	0.7956816
NCT00001891	0.7940482
NCT00006505	0.79402685
NCT00006089	0.78140324
NCT00030797	0.77817625
NCT00001752	0.7719322
NCT00001895	0.76461136
NCT00004050	0.76426005
NCT00003742	0.75896555
NCT00035451	0.75704706
NCT00035477	0.75704706
NCT00005783	0.75573844
NCT00003322	0.7537762
NCT00001886	0.7531646
NCT00001853	0.7478605
NCT00002687	0.7477283
NCT00031278	0.7425309
NCT00003172	0.7385933
NCT00005547	0.7371782
NCT00001622	0.7295786
NCT00001928	0.72585094
NCT00003058	0.72089344
NCT00004868	0.7164536
NCT00005647	0.7133126
NCT00003568	0.71107924
NCT00001313	0.70661247
NCT00002641	0.7046155
NCT00033371	0.7045324
NCT00037817	0.70438564
NCT00005072	0.7035412
NCT00005134	0.6998792
NCT00029146	0.69881475
NCT00045812	0.69661397
NCT00000531	0.6965785
NCT00006014	0.6952728
NCT00013923	0.6938255
NCT00004399	0.69361013
NCT00000599	0.6929007
NCT00001963	0.6898079
NCT00045877	0.6871776
NCT00005313	0.6869236
NCT00004013	0.68322164
NCT00003537	0.6828764
NCT00003899	0.6820089
NCT00003957	0.6819407
NCT00003684	0.68029785
NCT00043394	0.6794118
NCT00003237	0.6791491
NCT00001742	0.6777422
NCT00022607	0.67590827
NCT00001431	0.6748397
NCT00004148	0.6731689
NCT00003984	0.6720625
NCT00005631	0.6698275
NCT00001931	0.66903144
NCT00020397	0.66811407
NCT00005949	0.66670746
NCT00004216	0.66476464
NCT00000419	0.6592784
NCT00021359	0.6573956
NCT00006269	0.6566127
NCT00019825	0.65582466
NCT00015925	0.65521735
NCT00006240	0.6544577
NCT00006002	0.6541103
NCT00003784	0.6528288
