rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
1	NCT05035407	0.36835116	1.253879	1.6222301	1	True
2	NCT04226989	0.39462486	1.1229711	1.5175959	2	True
3	NCT04847544	1.3265833	0	1.3265833		True
4	NCT01186939	0.36950162	0.9390985	1.3086001	3	True
5	NCT01333423	0.36469966	0.90815142	1.2728511	4	True
6	NCT02681302	0.458722	0.80382025	1.2625422	10	True
7	NCT04448145	1.2611489	0	1.2611489		True
8	NCT02206308	0.39991918	0.84800332	1.2479225	6	True
9	NCT01145456	0.41608447	0.79912321	1.2152077	12	True
10	NCT01227889	0.3569473	0.85435404	1.2113013	5	True
11	NCT00107536	0.36358434	0.83193389	1.1955182	7	True
12	NCT02316340	0.3688792	0.82584642	1.1947256	8	True
13	NCT01522976	0.39608514	0.78638208	1.1824672	14	True
14	NCT03558191	0.44033784	0.74160039	1.1819382	19	True
15	NCT04801797	0.37596068	0.80237465	1.1783353	11	True
16	NCT02689505	0.36649472	0.80408403	1.1705787	9	True
17	NCT05996432	0.3615483	0.78887451	1.1504228	13	True
18	NCT06320301	0.44112173	0.70881109	1.1499328	25	True
19	NCT01375569	0.3687607	0.77704085	1.1458015	15	True
20	NCT06249048	0.3963038	0.74564435	1.1419482	18	True
21	NCT05336721	0.46312404	0.675236	1.13836	34	True
22	NCT05972460	0.5031323	0.63075052	1.1338828	49	True
23	NCT03331341	0.41506383	0.7180087	1.1330725	22	True
24	NCT05481658	0.35707307	0.76796463	1.1250377	16	True
25	NCT05841563	0.5043296	0.61308421	1.1174138	56	True
26	NCT01842165	0.35477912	0.75929739	1.1140765	17	True
27	NCT02232152	0.38925532	0.71008303	1.0993383	24	True
28	NCT04743505	0.40689245	0.68861936	1.0955118	29	True
29	NCT04624633	0.35840178	0.73428764	1.0926894	20	True
30	NCT01264432	0.3650285	0.72261795	1.0876464	21	True
31	NCT02093143	0.58239764	0.49757518	1.0799728	129	True
32	NCT03586661	0.40630373	0.67335511	1.0796588	35	True
33	NCT05001282	0.38625067	0.69090458	1.0771553	28	True
34	NCT04025307	0.4329498	0.64331789	1.0762677	43	True
35	NCT01788189	0.3644357	0.71144867	1.0758844	23	True
36	NCT01711970	0.39580894	0.67849253	1.0743015	33	True
37	NCT02473536	0.36554575	0.70400285	1.0695486	26	True
38	NCT06152367	0.4826583	0.58485427	1.0675126	72	True
39	NCT02716051	0.36427	0.69656721	1.0608372	27	True
40	NCT05499715	0.42189738	0.6341407	1.0560381	46	True
41	NCT02437318	0.48999617	0.56260884	1.052605	89	True
42	NCT05653622	0.36792535	0.68401178	1.0519371	31	True
43	NCT05741294	0.37576622	0.67074586	1.0465121	36	True
44	NCT05048498	0.38557914	0.66039719	1.0459763	37	True
45	NCT05666700	0.52827024	0.51524008	1.0435103	113	True
46	NCT03564821	0.35703826	0.6851493	1.0421876	30	True
47	NCT05624918	0.3920465	0.64566136	1.0377079	42	True
48	NCT04483830	1.0369922	0	1.0369922		True
49	NCT02821182	0.35528016	0.68098129	1.0362614	32	True
50	NCT05717140	0.51997733	0.51377283	1.0337502	115	True
51	NCT01600807	0.5440013	0.48781729	1.0318186	138	True
52	NCT02211443	0.5065629	0.52422793	1.0307908	106	True
53	NCT04729725	0.42643622	0.60183353	1.0282698	63	True
54	NCT05747157	0.4420048	0.58408231	1.0260871	73	True
55	NCT01676194	0.36656538	0.65788529	1.0244507	38	True
56	NCT04157491	0.36729133	0.64980182	1.0170931	39	True
57	NCT05692999	0.39154837	0.62528299	1.0168314	51	True
58	NCT01621217	0.36805776	0.64833443	1.0163922	40	True
59	NCT04175912	0.43798807	0.57571141	1.0136995	79	True
60	NCT06223568	0.36613902	0.64708065	1.0132197	41	True
61	NCT04005365	0.51657516	0.48832893	1.0049041	137	True
