rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
1	NCT04226989	0.39117727	1.5101893	1.9013665	1	True
2	NCT05035407	0.39259928	1.4474477	1.8400469	2	True
3	NCT01186939	0.4095189	1.3271885	1.7367074	3	True
4	NCT06249048	0.4097095	1.285158	1.6948675	4	True
5	NCT05001282	0.40019155	1.1840133	1.5842049	5	True
6	NCT02716051	0.39338446	1.1208203	1.5142047	6	True
7	NCT02689505	0.38972765	1.1038336	1.4935613	7	True
8	NCT01842165	0.39840156	1.0404315	1.4388331	8	True
9	NCT01145456	0.39932021	1.0133777	1.4126979	9	True
10	NCT00039377	0.39511672	1.0105211	1.4056378	10	True
11	NCT05653622	0.39967364	0.99794876	1.3976224	11	True
12	NCT01333423	0.39839554	0.95779294	1.3561885	12	True
13	NCT05996432	0.40761942	0.93919991	1.3468193	14	True
14	NCT06320301	0.4026543	0.9394566	1.3421109	13	True
15	NCT02990221	0.4024169	0.91059504	1.3130119	15	True
16	NCT04729725	0.4020805	0.90939724	1.3114777	16	True
17	NCT05741294	0.4024169	0.90547211	1.307889	17	True
18	NCT03792633	0.39868927	0.87966797	1.2783572	19	True
19	NCT01264432	0.40691364	0.87136527	1.2782789	22	True
20	NCT02681302	0.39628428	0.8764276	1.2727119	20	True
21	NCT04624633	0.38518888	0.88732606	1.2725149	18	True
22	NCT05048498	0.3991385	0.87312643	1.2722649	21	True
23	NCT04801797	0.4013262	0.86681264	1.2681388	23	True
24	NCT02316340	0.40871298	0.84805313	1.2567661	24	True
25	NCT02473536	0.41391206	0.83732955	1.2512416	25	True
26	NCT02206308	0.40234512	0.81422072	1.2165658	27	True
27	NCT06454578	0.40377906	0.81116015	1.2149392	28	True
28	NCT01046487	0.38519347	0.81617814	1.2013716	26	True
29	NCT01375569	0.38842544	0.79988285	1.1883083	29	True
30	NCT05683704	0.40802068	0.77543143	1.1834521	31	True
31	NCT05747157	0.4040568	0.77553472	1.1795915	30	True
32	NCT02060487	1.170108	0	1.170108		True
33	NCT02841800	0.39589414	0.76939137	1.1652855	32	True
34	NCT06357377	0.40065524	0.76458901	1.1652443	33	True
35	NCT04743505	0.41278046	0.7405271	1.1533076	35	True
36	NCT01630226	0.39928693	0.75094422	1.1502311	34	True
37	NCT03558191	0.40228665	0.73310463	1.1353913	37	True
38	NCT03586661	0.41735896	0.70907502	1.126434	44	True
39	NCT05666700	0.40207666	0.72176168	1.1238383	40	True
40	NCT02646384	0.38519347	0.73780181	1.1229953	36	True
41	NCT05605509	0.39639992	0.72597699	1.1223769	38	True
42	NCT00107536	0.40792936	0.71428868	1.122218	42	True
43	NCT01307618	0.39141223	0.7245457	1.1159579	39	True
44	NCT02227251	0.40031227	0.71531425	1.1156265	41	True
45	NCT02232152	0.40306383	0.70578161	1.1088454	45	True
46	NCT03564821	0.39071283	0.71124649	1.1019593	43	True
47	NCT06223568	0.4123761	0.68935873	1.1017348	50	True
48	NCT06297525	0.4098826	0.69105385	1.1009364	49	True
49	NCT04553510	0.39908227	0.6953345	1.0944168	48	True
50	NCT06173219	0.4097095	0.68317418	1.0928837	51	True
51	NCT04872478	0.39373764	0.69914588	1.0928835	47	True
52	NCT02772588	0.39077583	0.70137341	1.0921492	46	True
53	NCT05972460	0.41221994	0.67731116	1.0895311	52	True
54	NCT04708067	0.4013025	0.67164788	1.0729504	54	True
55	NL64722.031.18	0.3927641	0.67397042	1.0667345	53	True
56	NCT05841563	0.4097095	0.6547961	1.0645056	56	True
57	NCT05481658	0.40102065	0.6595974	1.060618	55	True
58	NCT05035914	0.40900934	0.64033526	1.0493446	59	True
59	NCT04898543	0.41183975	0.63336538	1.0452051	61	True
60	NCT02182622	0.39077583	0.64669732	1.0374732	58	True
61	NCT05633160	0.387025	0.64836638	1.0353914	57	True
62	NCT04803994	0.4079216	0.62210068	1.0300223	63	True
63	NCT05692999	0.41244084	0.61694903	1.0293899	65	True
64	NCT05830084	0.39053738	0.63769872	1.0282361	60	True
65	NCT04490993	0.40283835	0.62164398	1.0244823	64	True
66	NCT03493932	0.39231217	0.63020248	1.0225147	62	True
67	NCT02753140	0.41930294	0.60210986	1.0214128	68	True
68	NCT04995523	0.40838265	0.61066105	1.0190437	66	True
69	NCT04175912	0.40548825	0.59860138	1.0040896	70	True
70	NCT01468623	0.41200358	0.59033836	1.0023419	71	True
71	NCT02703571	0.3945573	0.60101101	0.99556831	69	True
72	NCT01005979	0.3894148	0.60345707	0.99287187	67	True
73	NCT01522976	0.39768207	0.58999208	0.98767415	72	True
74	NCT03315039	0.39996147	0.58681185	0.98677332	73	True
75	NCT02827838	0.4064785	0.57742786	0.98390636	77	True
76	NCT04338763	0.39411557	0.58674496	0.98086053	74	True
77	NCT02789657	0.39839554	0.58065742	0.97905296	75	True
78	NCT04896112	0.4026391	0.57461885	0.97725795	78	True
79	NCT04267913	0.41023862	0.56632456	0.97656318	81	True
80	NCT04522323	0.412008	0.55961596	0.97162396	84	True
81	NCT04582487	0.3916434	0.57987817	0.97152157	76	True
82	NCT05170828	0.3975852	0.57262452	0.97020972	79	True
83	NCT01499160	0.39840198	0.57156563	0.96996761	80	True
84	NCT05499715	0.40985316	0.55850777	0.96836093	85	True
85	NCT05749211	0.40652913	0.55615098	0.96268011	87	True
86	NCT01158144	0.40958542	0.55207092	0.96165634	89	True
87	NCT03038477	0.39679486	0.56324043	0.96003529	83	True
88	NCT01520870	0.39313078	0.56593218	0.95906296	82	True
89	NCT01599832	0.4018442	0.55558552	0.95742972	88	True
90	NCT05441761	0.4023683	0.55182057	0.95418887	90	True
91	NCT03331341	0.40332028	0.5489433	0.95226358	91	True
92	NCT01335009	0.40537545	0.54490684	0.95028229	94	True
93	NCT05114915	0.41221994	0.53792484	0.95014478	97	True
94	NCT01963429	0.40523452	0.54035919	0.94559371	95	True
95	NCT03939962	0.39962083	0.54545168	0.94507251	93	True
96	NCT01227889	0.38519347	0.55773027	0.94292374	86	True
97	NCT05557708	0.39405406	0.5467656	0.94081966	92	True
98	NCT01048983	0.40895784	0.53111444	0.94007228	100	True
99	NCT01746836	0.39870015	0.53828795	0.9369881	96	True
100	NCT02437318	0.39839554	0.53392062	0.93231616	99	True
101	NCT03889483	0.3920541	0.53655509	0.92860919	98	True
102	NCT01788189	0.39516434	0.52980414	0.92496848	101	True
103	NCT05435248	0.41238603	0.50980092	0.92218695	107	True
104	NCT02069041	0.40377906	0.51519487	0.91897393	103	True
105	NCT04339829	0.40345788	0.51279304	0.91625092	104	True
106	NCT04373031	0.39861968	0.51660334	0.91522302	102	True
107	NCT05322330	0.4093696	0.50490916	0.91427876	109	True
108	NCT05002140	0.40178347	0.5082422	0.91002567	108	True
109	NCT04591028	0.39962083	0.5102128	0.90983363	106	True
110	NCT01539291	0.39613658	0.51043268	0.90656926	105	True
111	NCT01752205	0.40217903	0.49787666	0.90005569	111	True
112	NCT05624918	0.40138704	0.49731272	0.89869976	112	True
113	NCT05336721	0.4075606	0.48492755	0.89248815	115	True
114	NCT04481256	0.40390712	0.4884835	0.89239062	113	True
115	NCT01231594	0.38519347	0.50200476	0.88719823	110	True
116	NCT01167530	0.4067389	0.48008838	0.88682728	116	True
117	NCT01335074	0.4079216	0.47719263	0.88511423	118	True
118	NCT06050980	0.39136782	0.48695813	0.87832595	114	True
119	NCT04383938	0.41089565	0.46708091	0.87797656	124	True
120	NCT03215030	0.40244186	0.47273385	0.87517571	122	True
121	NCT01317212	0.39883852	0.47378663	0.87262515	121	True
122	NCT03439397	0.4042936	0.46554565	0.86983925	127	True
123	NCT01686958	0.39077583	0.47704273	0.86781856	119	True
124	NCT01045889	0.39030212	0.4773589	0.86766102	117	True
125	NCT06373471	0.4001624	0.46688456	0.86704696	125	True
126	NCT00680901	0.39670423	0.46869036	0.86539459	123	True
127	NCT05626322	0.4029	0.46159869	0.86449869	128	True
128	NCT02821182	0.39391294	0.46562099	0.85953393	126	True
129	NCT01570868	0.3837626	0.47518123	0.85894383	120	True
130	NCT01711970	0.40674812	0.45068511	0.85743323	132	True
131	NCT03289819	0.40432772	0.44816116	0.85248888	133	True
132	NCT01270321	0.39325905	0.45900662	0.85226567	129	True
133	NCT04629209	0.39231217	0.45859141	0.85090358	130	True
134	NCT01074437	0.3957762	0.45109568	0.84687188	131	True
135	NCT05493683	0.40508062	0.43868859	0.84376921	135	True
136	NCT03291379	0.40935844	0.4325543	0.84191274	137	True
137	NCT05025098	0.39506012	0.43935501	0.83441513	134	True
138	NCT03086642	0.39679486	0.42832871	0.82512357	138	True
139	NCT04087018	0.41221994	0.41095751	0.82317745	142	True
140	NCT04115761	0.38164508	0.43715691	0.81880199	136	True
141	NCT05761951	0.40299684	0.41512381	0.81812065	140	True
142	NCT04810936	0.39315587	0.42259102	0.81574689	139	True
143	NCT04025307	0.40887272	0.40525638	0.8141291	143	True
144	NCT03718650	0.3959397	0.41363138	0.80957108	141	True
145	NCT05038813	0.40892297	0.39013563	0.7990586	145	True
146	NCT02792491	0.40031227	0.3962646	0.79657687	144	True
147	NCT06391918	0.4125476	0.37934633	0.79189393	150	True
148	NCT03528954	0.4054473	0.38574324	0.79119054	149	True
149	NCT01798251	0.39962083	0.38916469	0.78878552	146	True
150	NCT00822094	0.4013262	0.38739424	0.78872044	147	True
151	NCT01403896	0.40100813	0.38652194	0.78753007	148	True
152	NCT02211443	0.4122194	0.37323401	0.78545341	155	True
153	NCT06166888	0.4098826	0.37488845	0.78477105	153	True
154	NCT05749042	0.40975288	0.37392998	0.78368286	154	True
155	NCT02760225	0.40274802	0.37645402	0.77920204	152	True
156	NCT02474095	0.39983377	0.37730999	0.77714376	151	True
157	NCT01621217	0.4036114	0.37178086	0.77539226	157	True
158	NCT02847767	0.40377906	0.37054987	0.77432893	159	True
159	NCT06022770	0.39941686	0.37129057	0.77070743	158	True
160	NCT01415011	0.40560395	0.36224985	0.7678538	163	True
161	NCT05859373	0.40958542	0.35469597	0.76428139	167	True
162	NCT05923177	0.40471697	0.35948822	0.76420519	166	True
163	NCT00860574	0.39890444	0.36475799	0.76366243	161	True
164	NCT01249430	0.39921355	0.36351573	0.76272928	162	True
165	NCT04887025	0.4065838	0.3542586	0.7608424	168	True
166	NCT04770272	0.4075606	0.35262256	0.76018316	169	True
167	NCT02341170	0.38947338	0.36986189	0.75933527	160	True
168	NCT00669669	0.38660115	0.37212915	0.7587303	156	True
169	NCT03822234	0.39634588	0.36150905	0.75785493	164	True
170	NCT02046538	0.3951376	0.36072147	0.75585907	165	True
171	NCT06088888	0.4008386	0.3522875	0.7531261	170	True
172	NCT01362296	0.408629	0.33973085	0.74835985	175	True
173	NCT04157491	0.40299684	0.34487856	0.7478754	173	True
174	NCT02495233	0.4113689	0.33550456	0.74687346	177	True
175	NCT02795429	0.40881857	0.33019014	0.73900871	178	True
176	NCT01447589	0.39338446	0.34539359	0.73877805	172	True
177	NCT04323605	0.3996195	0.33896209	0.73858159	176	True
