rank_in_top_trials	nct_id	second_level_score	first_level_score	combined_score	rank_second_level	rank_combined
1	NCT04226989	1.5101893	0.39117727	1.9013665	1	1
2	NCT05035407	1.4474477	0.39259928	1.8400469	2	2
3	NCT01186939	1.3271885	0.4095189	1.7367074	3	3
4	NCT06249048	1.285158	0.4097095	1.6948675	4	4
5	NCT05001282	1.1840133	0.40019155	1.5842049	5	5
6	NCT02716051	1.1208203	0.39338446	1.5142047	6	6
7	NCT02689505	1.1038336	0.38972765	1.4935613	7	7
8	NCT01842165	1.0404315	0.39840156	1.4388331	8	8
9	NCT01145456	1.0133777	0.39932021	1.4126979	9	9
10	NCT00039377	1.0105211	0.39511672	1.4056378	10	10
11	NCT05653622	0.99794876	0.39967364	1.3976224	11	11
12	NCT01333423	0.95779294	0.39839554	1.3561885	12	12
13	NCT05996432	0.93919991	0.40761942	1.3468193	14	13
14	NCT06320301	0.9394566	0.4026543	1.3421109	13	14
15	NCT02990221	0.91059504	0.4024169	1.3130119	15	15
16	NCT04729725	0.90939724	0.4020805	1.3114777	16	16
17	NCT05741294	0.90547211	0.4024169	1.307889	17	17
18	NCT03792633	0.87966797	0.39868927	1.2783572	19	18
19	NCT01264432	0.87136527	0.40691364	1.2782789	22	19
20	NCT02681302	0.8764276	0.39628428	1.2727119	20	20
21	NCT04624633	0.88732606	0.38518888	1.2725149	18	21
22	NCT05048498	0.87312643	0.3991385	1.2722649	21	22
23	NCT04801797	0.86681264	0.4013262	1.2681388	23	23
24	NCT02316340	0.84805313	0.40871298	1.2567661	24	24
25	NCT02473536	0.83732955	0.41391206	1.2512416	25	25
26	NCT02206308	0.81422072	0.40234512	1.2165658	27	26
27	NCT06454578	0.81116015	0.40377906	1.2149392	28	27
28	NCT01046487	0.81617814	0.38519347	1.2013716	26	28
29	NCT01375569	0.79988285	0.38842544	1.1883083	29	29
30	NCT05683704	0.77543143	0.40802068	1.1834521	31	30
31	NCT05747157	0.77553472	0.4040568	1.1795915	30	31
32	NCT02060487	0	1.170108	1.170108		32
33	NCT02841800	0.76939137	0.39589414	1.1652855	32	33
34	NCT06357377	0.76458901	0.40065524	1.1652443	33	34
35	NCT04743505	0.7405271	0.41278046	1.1533076	35	35
36	NCT01630226	0.75094422	0.39928693	1.1502311	34	36
37	NCT03558191	0.73310463	0.40228665	1.1353913	37	37
38	NCT03586661	0.70907502	0.41735896	1.126434	44	38
