rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
1	NCT01333423	0.8557582	1.4846476	2.3404058	2	True
2	NCT01655992	0.90407646	1.3438689	2.2479454	5	True
3	NCT04852081	1.0819185	1.1544085	2.236327	12	True
4	NCT05035407	0.4381245	1.6616675	2.099792	1	True
5	NCT02437318	0.96154684	1.0604521	2.021999	28	True
6	NCT01499160	0.9280662	1.0618218	1.989888	27	True
7	NCT05969184	0.87086886	1.0406046	1.9114735	30	True
8	NCT03184090	1.2843901	0.6107931	1.8951832	173	True
9	NCT02789657	0.7128463	1.1456642	1.8585105	14	True
10	NCT04226989	0.41745016	1.4308704	1.8483206	3	True
11	NCT05582499	0.7443582	1.0835442	1.8279024	22	True
12	NCT05378204	0.8866778	0.94063406	1.8273119	45	True
13	NCT01264432	0.44413444	1.347748	1.7918824	4	True
14	NCT05336721	0.78068995	0.99002242	1.7707124	39	True
15	NCT04729725	0.5049675	1.2609969	1.7659644	7	True
16	NCT00109265	0.85975957	0.89411941	1.753879	60	True
17	NCT04165993	0.8789429	0.86054863	1.7394915	71	True
18	NCT02703571	0.5438422	1.1928925	1.7367347	9	True
19	NCT02689505	0.51363033	1.1881264	1.7017567	10	True
20	NCT02681302	0.43653515	1.2648988	1.701434	6	True
21	NCT06320301	0.53162384	1.1483678	1.6799917	13	True
22	NCT01227889	0.45735255	1.2129166	1.6702692	8	True
23	NCT04770272	0.81675464	0.83959143	1.6563461	73	True
24	NCT01145456	0.4712607	1.1849493	1.65621	11	True
25	NCT02316340	0.53191054	1.1080957	1.6400062	17	True
26	NCT01151046	1.0403904	0.59898604	1.6393764	178	True
27	NCT05605509	0.47936332	1.1395166	1.6188799	16	True
28	NCT06249048	0.6079343	0.99587448	1.6038088	38	True
29	NCT04708067	0.56486803	1.009199	1.574067	33	True
30	NCT05741294	0.43133286	1.1422074	1.5735402	15	True
31	NCT03900299	0.5554486	1.0173514	1.5728	31	True
32	NCT05923177	0.727895	0.8358425	1.5637375	74	True
33	NCT01046487	0.47529143	1.0878853	1.5631767	21	True
34	NCT01963429	0.45122686	1.0981958	1.5494227	19	True
35	NCT05841563	0.53528386	1.0029522	1.538236	35	True
36	NCT00428922	0.8301335	0.70527739	1.5354109	119	True
37	NCT01158144	0.4232048	1.1061399	1.5293447	18	True
38	NCT06391918	0.64259106	0.88238866	1.5249797	63	True
39	NCT00107536	0.42878526	1.0949688	1.523754	20	True
40	NCT05001282	0.45741764	1.045387	1.5028046	29	True
41	NCT01842165	0.43550193	1.0644281	1.4999301	25	True
42	NCT01522976	0.4192229	1.0791632	1.4983861	23	True
43	NCT02716051	0.4285798	1.0664783	1.4950581	24	True
44	NCT03586661	0.5413074	0.94045468	1.4817621	46	True
45	NCT00039377	0.41720515	1.0620744	1.4792796	26	True
46	NCT03289819	0.7217318	0.75122188	1.4729537	103	True
47	NCT01599832	0.55785435	0.89687866	1.454733	58	True
48	NCT06131775	0.45294547	1.0016763	1.4546218	36	True
49	NCT03331341	0.4374997	1.0134595	1.4509592	32	True
50	NCT02232152	0.4503252	0.99984496	1.4501702	37	True
51	NCT05747157	0.5173161	0.93284013	1.4501562	49	True
52	NCT04624633	0.42551455	1.0074785	1.432993	34	True
53	NCT02341170	0.46811125	0.96039025	1.4285015	41	True
54	NCT05996432	0.4356153	0.98798224	1.4235975	40	True
