rank_in_top_trials	nct_id	second_level_score	first_level_score	combined_score	rank_second_level	rank_combined
1	NCT01333423	1.4846476	0.8557582	2.3404058	2	1
2	NCT01655992	1.3438689	0.90407646	2.2479454	5	2
3	NCT04852081	1.1544085	1.0819185	2.236327	12	3
4	NCT05035407	1.6616675	0.4381245	2.099792	1	4
5	NCT02437318	1.0604521	0.96154684	2.021999	28	5
6	NCT01499160	1.0618218	0.9280662	1.989888	27	6
7	NCT05969184	1.0406046	0.87086886	1.9114735	30	7
8	NCT03184090	0.6107931	1.2843901	1.8951832	173	8
9	NCT02789657	1.1456642	0.7128463	1.8585105	14	9
10	NCT04226989	1.4308704	0.41745016	1.8483206	3	10
11	NCT05582499	1.0835442	0.7443582	1.8279024	22	11
12	NCT05378204	0.94063406	0.8866778	1.8273119	45	12
13	NCT01264432	1.347748	0.44413444	1.7918824	4	13
14	NCT05336721	0.99002242	0.78068995	1.7707124	39	14
15	NCT04729725	1.2609969	0.5049675	1.7659644	7	15
16	NCT00109265	0.89411941	0.85975957	1.753879	60	16
17	NCT04165993	0.86054863	0.8789429	1.7394915	71	17
18	NCT02703571	1.1928925	0.5438422	1.7367347	9	18
19	NCT02689505	1.1881264	0.51363033	1.7017567	10	19
20	NCT02681302	1.2648988	0.43653515	1.701434	6	20
21	NCT06320301	1.1483678	0.53162384	1.6799917	13	21
22	NCT01227889	1.2129166	0.45735255	1.6702692	8	22
23	NCT04770272	0.83959143	0.81675464	1.6563461	73	23
24	NCT01145456	1.1849493	0.4712607	1.65621	11	24
25	NCT02316340	1.1080957	0.53191054	1.6400062	17	25
26	NCT01151046	0.59898604	1.0403904	1.6393764	178	26
27	NCT05605509	1.1395166	0.47936332	1.6188799	16	27
28	NCT06249048	0.99587448	0.6079343	1.6038088	38	28
29	NCT04708067	1.009199	0.56486803	1.574067	33	29
30	NCT05741294	1.1422074	0.43133286	1.5735402	15	30
31	NCT03900299	1.0173514	0.5554486	1.5728	31	31
32	NCT05923177	0.8358425	0.727895	1.5637375	74	32
33	NCT01046487	1.0878853	0.47529143	1.5631767	21	33
34	NCT01963429	1.0981958	0.45122686	1.5494227	19	34
35	NCT05841563	1.0029522	0.53528386	1.538236	35	35
36	NCT00428922	0.70527739	0.8301335	1.5354109	119	36
37	NCT01158144	1.1061399	0.4232048	1.5293447	18	37
38	NCT06391918	0.88238866	0.64259106	1.5249797	63	38
39	NCT00107536	1.0949688	0.42878526	1.523754	20	39
40	NCT05001282	1.045387	0.45741764	1.5028046	29	40
41	NCT01842165	1.0644281	0.43550193	1.4999301	25	41
42	NCT01522976	1.0791632	0.4192229	1.4983861	23	42
43	NCT02716051	1.0664783	0.4285798	1.4950581	24	43
44	NCT03586661	0.94045468	0.5413074	1.4817621	46	44
45	NCT00039377	1.0620744	0.41720515	1.4792796	26	45
46	NCT03289819	0.75122188	0.7217318	1.4729537	103	46
47	NCT01599832	0.89687866	0.55785435	1.454733	58	47
48	NCT06131775	1.0016763	0.45294547	1.4546218	36	48
49	NCT03331341	1.0134595	0.4374997	1.4509592	32	49
50	NCT02232152	0.99984496	0.4503252	1.4501702	37	50
51	NCT05747157	0.93284013	0.5173161	1.4501562	49	51
52	NCT04624633	1.0074785	0.42551455	1.432993	34	52
53	NCT02341170	0.96039025	0.46811125	1.4285015	41	53
54	NCT05996432	0.98798224	0.4356153	1.4235975	40	54
55	NCT01630226	0.85587823	0.5615452	1.4174234	72	55
56	NCT04025307	0.93524176	0.48086604	1.4161078	47	56
57	NCT04113863	0.64924297	0.7655269	1.4147699	149	57
58	NCT01468623	0.9548458	0.4594524	1.4142982	44	58
59	NCT04373031	0.68054689	0.7320776	1.4126245	132	59
60	NCT03558191	0.87057168	0.5409176	1.4114893	68	60
61	NCT06223568	0.90420159	0.49767062	1.4018722	55	61
62	NCT05481658	0.95790745	0.44313848	1.4010459	42	62
63	NCT00680901	0.92176553	0.47393858	1.3957041	53	63
64	NCT05972460	0.86365682	0.5188228	1.3824796	69	64
65	NCT01963715	0.91743771	0.46394143	1.3813791	54	65
66	NCT04801797	0.93148856	0.4463932	1.3778818	50	66
67	NCT02792491	0.9565322	0.42114285	1.3776751	43	67
68	NCT05793710	0.7052867	0.66996187	1.3752486	118	68
69	NCT02473536	0.92263881	0.45018312	1.3728219	52	69
70	NCT04267913	0.89540992	0.47138128	1.3667912	59	70
71	NCT04891653	0.93441568	0.42678988	1.3612056	48	71
72	NCT01231594	0.89810203	0.4605642	1.3586662	57	72
73	NCT04743505	0.8279781	0.5222319	1.35021	77	73
74	NCT02206308	0.92736636	0.42003387	1.3474002	51	74
75	NCT01375569	0.88913204	0.45772883	1.3468609	62	75
76	NCT05499715	0.81457343	0.5153633	1.3299367	80	76
77	NCT02142959	0.77043651	0.5554486	1.3258851	100	77
78	NCT01307618	0.89269099	0.43264017	1.3253312	61	78
79	NCT05692999	0.79988229	0.52375185	1.3236341	85	79
80	NCT04725188	0.77089641	0.5522852	1.3231816	99	80
81	NCT04267900	0.76247785	0.5554486	1.3179265	101	81
82	NCT05624918	0.79434721	0.5217668	1.316114	86	82
83	NCT01711970	0.87653646	0.4382959	1.3148324	65	83
84	NCT06166888	0.87232252	0.44045168	1.3127742	67	84
85	NCT03564821	0.89962397	0.41265655	1.3122805	56	85
86	NCT06142344	0.54950745	0.76205236	1.3115598	198	86
87	NCT05493683	0.77343823	0.5335617	1.3069999	96	87
88	NCT04861220	0.80081372	0.5023553	1.303169	83	88
89	NCT01186939	0.87694287	0.42185	1.2987929	64	89
90	NCT04157491	0.82095258	0.47474444	1.295697	78	90
91	NCT05048498	0.87534531	0.41921934	1.2945647	66	91
92	NCT05114915	0.7722052	0.5210735	1.2932787	97	92
93	NCT06297525	0.86360814	0.42747384	1.291082	70	93
94	NCT05416775	0.82972986	0.46097416	1.290704	76	94
95	NCT05433701	0.79401134	0.49001464	1.284026	87	95
96	NCT04175912	0.74507078	0.535989	1.2810598	106	96
97	NCT01335074	0.83455832	0.44416842	1.2787267	75	97
98	NCT03768492	0.77115683	0.50391513	1.275072	98	98
99	NCT05441761	0.81681194	0.456678	1.2734899	79	99
100	NCT05917431	0.71301028	0.5592715	1.2722818	115	100
101	NCT05435248	0.80044263	0.46062934	1.261072	84	101
102	NCT02821182	0.74768873	0.50485903	1.2525478	104	102
103	NCT05666700	0.64873779	0.59971476	1.2484526	150	103
104	NCT04995523	0.78331439	0.46312022	1.2464346	92	104
105	NCT05830084	0.77657606	0.46960133	1.2461774	94	105
106	NCT01948843	0.30359681	0.94026583	1.2438626	308	106
107	NCT04383938	0.80807382	0.4331435	1.2412173	81	107
108	NCT05035914	0.80409147	0.43301982	1.2371113	82	108
109	NCT04522323	0.79042526	0.44654322	1.2369685	89	109
110	NCT03662841	0.78013147	0.4536773	1.2338088	93	110
111	NCT01959867	0.67716779	0.5554486	1.2326164	135	111
112	NCT04872478	0.78952737	0.44129655	1.2308239	91	112
113	NCT04339829	0.71966734	0.5063939	1.2260612	113	113
114	NCT05749211	0.77575671	0.4456218	1.2213785	95	114
115	NCT04887025	0.79018197	0.4303661	1.2205481	90	115
116	NCT04898543	0.69957871	0.5157329	1.2153116	122	116
117	NCT02340949	0.64661445	0.568192	1.2148065	151	117
118	NCT05626322	0.79268926	0.42065126	1.2133405	88	118
119	NCT01335009	0.69243426	0.5166266	1.2090609	125	119
120	NCT02827838	0.71203003	0.4907827	1.2028127	116	120
121	NCT03086642	0.58475018	0.6109752	1.1957254	186	121
122	NCT05655078	0.62113536	0.5741116	1.195247	167	122
123	NCT05683704	0.73700926	0.45451763	1.1915269	109	123
124	NCT02211443	0.64932589	0.5389716	1.1882975	148	124
125	NCT05397457	0.68026654	0.5077442	1.1880107	133	125
126	NCT04040699	0.75927069	0.42590678	1.1851775	102	126
127	NCT03427684	0.74372133	0.44124186	1.1849632	107	127
128	NCT04202640	0.62786416	0.5554486	1.1833128	163	128
129	NCT05749042	0.69770811	0.48379478	1.1815029	123	129
130	NCT06050980	0.72478197	0.45574892	1.1805309	111	130
131	NCT04098783	0.66325447	0.51719123	1.1804457	146	131
