rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
1	NCT01158144	0.8293826	2.0707305	2.9001131	5	True
2	NCT01145456	0.4327379	2.3972288	2.8299667	1	True
3	NCT04226989	0.4424314	2.2417882	2.6842196	2	True
4	NCT00107536	0.4356352	2.1097487	2.5453839	3	True
5	NCT01333423	0.4248063	2.0992566	2.5240629	4	True
6	NCT02716051	0.44521937	2.0538169	2.4990363	6	True
7	NCT05841563	0.7820033	1.6761443	2.4581476	15	True
8	NCT02341170	0.49910486	1.9275747	2.4266796	8	True
9	NCT05035407	0.42458418	1.9479028	2.372487	7	True
10	NCT04725188	0.9692423	1.3414588	2.3107011	40	True
11	NCT01167530	0.7808257	1.4936321	2.2744578	27	True
12	NCT02284139	0.59885687	1.6563792	2.2552361	16	True
13	NCT02703571	0.47485837	1.7606961	2.2355544	9	True
14	NCT04743505	1.0753019	1.1506372	2.2259391	82	True
15	NCT01711970	0.4238814	1.7346007	2.1584821	10	True
16	NCT01046487	0.42222744	1.7336117	2.1558392	11	True
17	NCT06249048	0.42786336	1.722127	2.1499903	12	True
18	NCT06320301	0.5977524	1.5461512	2.1439036	24	True
19	NCT05605509	0.42689598	1.7106525	2.1375485	13	True
20	NCT04729725	0.62824154	1.5042844	2.1325259	26	True
21	NCT06173219	0.42786336	1.7045241	2.1323875	14	True
22	NCT05692999	0.8289453	1.3020323	2.1309776	45	True
23	NCT04995523	1.0772469	1.0403436	2.1175905	116	True
24	NCT05416775	0.5211567	1.5827801	2.1039368	21	True
25	NCT05859373	0.7593905	1.3000644	2.0594549	46	True
26	NCT01375569	0.42850578	1.6278025	2.0563082	17	True
27	NCT01963429	0.43425602	1.6172862	2.0515422	19	True
28	NCT04222335	0.8498846	1.1981725	2.0480571	68	True
29	NCT00680901	0.4227441	1.6225666	2.0453107	18	True
30	NCT01752205	0.5566994	1.4785801	2.0352795	28	True
31	NCT03596593	0.43098605	1.5989417	2.0299277	20	True
32	NCT04339829	1.0066055	0.99093245	1.9975379	131	True
33	NCT06131775	0.4275071	1.567855	1.9953621	22	True
34	NCT04383938	0.73327214	1.2520571	1.9853292	59	True
35	NCT06297525	0.43098605	1.5514804	1.9824665	23	True
36	NCT01447589	0.44521937	1.5233542	1.9685736	25	True
37	NCT02623712	0.75172895	1.1860706	1.9377995	72	True
38	NCT01655992	0.45316595	1.4734848	1.9266508	29	True
39	NCT03331341	0.47701192	1.4315992	1.9086111	33	True
40	NCT01415011	1.0740062	0.82801672	1.9020229	184	True
41	NCT01264432	0.4358694	1.4624811	1.8983505	30	True
42	NCT04891653	0.42786336	1.4485933	1.8764567	31	True
43	NCT05626322	0.4372034	1.4366669	1.8738703	32	True
44	NCT05435248	0.72352904	1.143676	1.867205	87	True
45	NCT04951947	0.46332592	1.4037526	1.8670785	36	True
46	NCT02437318	0.4248063	1.4143309	1.8391372	34	True
47	NCT01522976	0.43615693	1.3954008	1.8315577	37	True
48	NCT05001282	0.41740584	1.4100798	1.8274856	35	True
49	NCT05972460	0.66999704	1.1486288	1.8186258	84	True
50	NCT01048983	0.7042933	1.1120662	1.8163595	94	True
51	NCT02681302	0.43363342	1.3706686	1.804302	38	True
52	NCT03427684	0.43452138	1.3696978	1.8042192	39	True
53	NCT06050980	0.634361	1.1690178	1.8033788	76	True
54	NCT03770299	0.8400894	0.94762047	1.7877099	147	True
55	NCT04898543	0.47342163	1.3102716	1.7836933	43	True
56	NCT03668496	0.58791214	1.1957022	1.7836144	69	True
57	NCT05441761	0.43289953	1.3168327	1.7497322	41	True
58	NCT02473536	0.43575633	1.3098103	1.7455666	44	True
59	NCT04373031	0.4364999	1.2986693	1.7351692	48	True
60	NCT03564821	0.41867113	1.3113589	1.73003	42	True
61	NCT05996432	0.44228733	1.2844103	1.7266976	52	True
62	NCT04098783	0.42044464	1.2996683	1.7201129	47	True
63	NCT05336721	0.49558887	1.2225176	1.7181065	65	True
64	NCT04025307	0.4399746	1.277244	1.7172186	53	True
65	NCT04624633	0.4247632	1.2902597	1.7150229	50	True
66	NCT01842165	0.42065623	1.293303	1.7139593	49	True
67	NCT04801797	0.42774007	1.2755415	1.7032816	54	True
68	NCT04175912	0.4586536	1.240769	1.6994226	63	True
69	NCT01307618	0.40794116	1.28912	1.6970612	51	True
70	NCT05747157	0.45914245	1.2368059	1.6959484	64	True
71	NCT05923177	0.42704946	1.2688316	1.695881	55	True
72	NCT02316340	0.42807686	1.2627383	1.6908151	56	True
73	NCT02689505	0.42772126	1.2615235	1.6892448	58	True
74	NCT05481658	0.4375747	1.2516242	1.6891989	60	True
75	NCT01746836	0.41710222	1.261938	1.6790402	57	True
76	NCT00428922	0.4248063	1.2413137	1.66612	62	True
77	NCT01227889	0.42222744	1.2418877	1.6641151	61	True
78	NCT01624051	0.71552414	0.93630414	1.6518283	152	True
79	NCT02211443	0.45262283	1.1989779	1.6516007	67	True
80	NCT04267913	0.4904558	1.1551529	1.6456087	79	True
81	NCT02206308	0.44650346	1.1910658	1.6375693	70	True
82	NCT05513703	0.72009236	0.91192257	1.6320149	158	True
83	NCT03334617	0.48064435	1.1438118	1.6244562	86	True
84	NCT01486550	0.41916117	1.2046862	1.6238474	66	True
85	NCT00039377	0.42954108	1.1901988	1.6197399	71	True
86	NCT04708067	0.43647003	1.1808393	1.6173094	73	True
87	NCT03662841	0.44171828	1.1750268	1.616745	75	True
88	NCT01468623	0.4494235	1.155562	1.6049855	78	True
89	NCT02444819	0.47702396	1.1188084	1.5958323	92	True
90	NCT04440865	0.41729426	1.1779729	1.5952671	74	True
91	NCT05917431	0.445886	1.1486746	1.5945606	83	True
92	NCT06166888	0.43098605	1.162532	1.5935181	77	True
93	NCT02565641	0.42984936	1.1534	1.5832494	80	True
94	NCT06223568	0.44799086	1.1307878	1.5787786	88	True
95	NCT01621217	0.42692524	1.1514246	1.5783498	81	True
96	NCT01186939	0.42124903	1.1467096	1.5679586	85	True
97	NCT01499160	0.5456002	1.019891	1.5654912	122	True
98	NCT02629848	1.0855824	0.47771878	1.5633012	297	True
99	NCT01788189	0.43560532	1.1260444	1.5616497	89	True
100	NCT04591028	0.43370104	1.1238468	1.5575478	90	True
101	NCT01963715	0.4225582	1.1215346	1.5440928	91	True
102	NCT01228942	0.415738	1.1181923	1.5339303	93	True
103	NCT06328699	0.42976445	1.0992698	1.5290343	97	True
104	NCT04973293	0.7784369	0.75056161	1.5289985	218	True
105	NCT03083613	0.41754556	1.1104485	1.5279941	95	True
106	NCT04469556	0.43280715	1.0890872	1.5218943	99	True
107	NCT04484636	0.43253684	1.0855856	1.5181225	100	True
108	NCT01045889	0.41101158	1.1039391	1.5149507	96	True
109	NCT01468675	0.4176479	1.0927562	1.5104041	98	True
110	NCT04672928	0.45861447	1.0508748	1.5094893	112	True
111	NCT03435302	0.41604626	1.0854522	1.5014985	101	True
112	NCT05749211	0.41891173	1.0793425	1.4982542	102	True
113	NCT04306900	0.43560138	1.062124	1.4977254	109	True
114	NCT05582499	0.42965528	1.0660003	1.4956556	105	True
115	NCT02340949	0.42795634	1.0656117	1.493568	107	True
116	NCT06152367	0.42463577	1.0687755	1.4934113	104	True
117	NCT01570868	0.41417867	1.0762958	1.4904744	103	True
118	NCT02792491	0.43725127	1.0494412	1.4866925	113	True
119	NCT01444547	0.42201656	1.0646299	1.4866464	108	True
120	NCT01676194	0.44162953	1.0413492	1.4829787	115	True
121	NCT01317212	0.41699848	1.0657992	1.4827976	106	True
122	NCT04582487	0.45283812	1.0292497	1.4820878	118	True
123	NCT04260360	0.41766927	1.059937	1.4776062	110	True
124	NL64722.031.18	0.6207166	0.853761	1.4744776	176	True
125	NCT01249430	0.4223307	1.0517887	1.4741194	111	True
126	NCT06244992	0.44804552	1.0239703	1.4720158	121	True
127	NCT05433701	0.44162953	1.0301076	1.4717372	117	True
128	NCT05557708	0.4462787	1.0252515	1.4715302	120	True
129	NCT03289819	0.46839935	0.99963298	1.4680323	127	True
130	NCT06391918	0.43560138	1.0263788	1.4619802	119	True
131	NCT02821182	0.41604626	1.043981	1.4600273	114	True
132	NCT05322330	0.4804221	0.9774018	1.4578239	138	True
133	NCT02853188	0.44667593	1.0081422	1.4548182	124	True
134	NCT04323605	0.43855488	1.0120317	1.4505866	123	True
135	NCT05499715	0.44666612	0.99491063	1.4415768	128	True
136	NCT05114915	0.4289689	1.0043861	1.433355	126	True
137	NCT04887025	0.43898842	0.99353261	1.432521	129	True
138	NCT02753140	0.44111288	0.99121117	1.4323241	130	True
139	NCT01335074	0.44162953	0.98307289	1.4247024	135	True
140	NCT01948843	0.43558174	0.98605803	1.4216398	134	True
141	NCT04522323	0.4312033	0.98682571	1.418029	133	True
142	NCT05741294	0.41219032	1.0057327	1.417923	125	True
143	NCT02232152	0.43161172	0.98214542	1.4137571	137	True
144	NCT04040699	0.4180867	0.98702929	1.405116	132	True
145	NCT03558191	0.43388915	0.96920269	1.4030918	139	True
146	NCT02087475	0.43395504	0.96826978	1.4022248	140	True
147	NCT05384691	0.4160296	0.98273666	1.3987663	136	True
148	NCT03586661	0.46590692	0.92865888	1.3945658	153	True
149	NCT03184090	0.45316595	0.93890776	1.3920737	151	True
150	NCT02841800	0.42548993	0.96619962	1.3916896	141	True
