rank_in_top_trials	nct_id	second_level_score	first_level_score	combined_score	rank_second_level	rank_combined
1	NCT01158144	2.0707305	0.8293826	2.9001131	5	1
2	NCT01145456	2.3972288	0.4327379	2.8299667	1	2
3	NCT04226989	2.2417882	0.4424314	2.6842196	2	3
4	NCT00107536	2.1097487	0.4356352	2.5453839	3	4
5	NCT01333423	2.0992566	0.4248063	2.5240629	4	5
6	NCT02716051	2.0538169	0.44521937	2.4990363	6	6
7	NCT05841563	1.6761443	0.7820033	2.4581476	15	7
8	NCT02341170	1.9275747	0.49910486	2.4266796	8	8
9	NCT05035407	1.9479028	0.42458418	2.372487	7	9
10	NCT04725188	1.3414588	0.9692423	2.3107011	40	10
11	NCT01167530	1.4936321	0.7808257	2.2744578	27	11
12	NCT02284139	1.6563792	0.59885687	2.2552361	16	12
13	NCT02703571	1.7606961	0.47485837	2.2355544	9	13
14	NCT04743505	1.1506372	1.0753019	2.2259391	82	14
15	NCT01711970	1.7346007	0.4238814	2.1584821	10	15
16	NCT01046487	1.7336117	0.42222744	2.1558392	11	16
17	NCT06249048	1.722127	0.42786336	2.1499903	12	17
18	NCT06320301	1.5461512	0.5977524	2.1439036	24	18
19	NCT05605509	1.7106525	0.42689598	2.1375485	13	19
20	NCT04729725	1.5042844	0.62824154	2.1325259	26	20
21	NCT06173219	1.7045241	0.42786336	2.1323875	14	21
22	NCT05692999	1.3020323	0.8289453	2.1309776	45	22
23	NCT04995523	1.0403436	1.0772469	2.1175905	116	23
24	NCT05416775	1.5827801	0.5211567	2.1039368	21	24
25	NCT05859373	1.3000644	0.7593905	2.0594549	46	25
26	NCT01375569	1.6278025	0.42850578	2.0563082	17	26
27	NCT01963429	1.6172862	0.43425602	2.0515422	19	27
28	NCT04222335	1.1981725	0.8498846	2.0480571	68	28
29	NCT00680901	1.6225666	0.4227441	2.0453107	18	29
30	NCT01752205	1.4785801	0.5566994	2.0352795	28	30
31	NCT03596593	1.5989417	0.43098605	2.0299277	20	31
32	NCT04339829	0.99093245	1.0066055	1.9975379	131	32
33	NCT06131775	1.567855	0.4275071	1.9953621	22	33
34	NCT04383938	1.2520571	0.73327214	1.9853292	59	34
35	NCT06297525	1.5514804	0.43098605	1.9824665	23	35
36	NCT01447589	1.5233542	0.44521937	1.9685736	25	36
37	NCT02623712	1.1860706	0.75172895	1.9377995	72	37
38	NCT01655992	1.4734848	0.45316595	1.9266508	29	38
39	NCT03331341	1.4315992	0.47701192	1.9086111	33	39
40	NCT01415011	0.82801672	1.0740062	1.9020229	184	40
41	NCT01264432	1.4624811	0.4358694	1.8983505	30	41
42	NCT04891653	1.4485933	0.42786336	1.8764567	31	42
43	NCT05626322	1.4366669	0.4372034	1.8738703	32	43
44	NCT05435248	1.143676	0.72352904	1.867205	87	44
45	NCT04951947	1.4037526	0.46332592	1.8670785	36	45
46	NCT02437318	1.4143309	0.4248063	1.8391372	34	46
47	NCT01522976	1.3954008	0.43615693	1.8315577	37	47
48	NCT05001282	1.4100798	0.41740584	1.8274856	35	48
49	NCT05972460	1.1486288	0.66999704	1.8186258	84	49
50	NCT01048983	1.1120662	0.7042933	1.8163595	94	50
51	NCT02681302	1.3706686	0.43363342	1.804302	38	51
52	NCT03427684	1.3696978	0.43452138	1.8042192	39	52
53	NCT06050980	1.1690178	0.634361	1.8033788	76	53
54	NCT03770299	0.94762047	0.8400894	1.7877099	147	54
55	NCT04898543	1.3102716	0.47342163	1.7836933	43	55
56	NCT03668496	1.1957022	0.58791214	1.7836144	69	56
57	NCT05441761	1.3168327	0.43289953	1.7497322	41	57
58	NCT02473536	1.3098103	0.43575633	1.7455666	44	58
59	NCT04373031	1.2986693	0.4364999	1.7351692	48	59
60	NCT03564821	1.3113589	0.41867113	1.73003	42	60
61	NCT05996432	1.2844103	0.44228733	1.7266976	52	61
62	NCT04098783	1.2996683	0.42044464	1.7201129	47	62
63	NCT05336721	1.2225176	0.49558887	1.7181065	65	63
64	NCT04025307	1.277244	0.4399746	1.7172186	53	64
65	NCT04624633	1.2902597	0.4247632	1.7150229	50	65
66	NCT01842165	1.293303	0.42065623	1.7139593	49	66
67	NCT04801797	1.2755415	0.42774007	1.7032816	54	67
68	NCT04175912	1.240769	0.4586536	1.6994226	63	68
69	NCT01307618	1.28912	0.40794116	1.6970612	51	69
70	NCT05747157	1.2368059	0.45914245	1.6959484	64	70
71	NCT05923177	1.2688316	0.42704946	1.695881	55	71
72	NCT02316340	1.2627383	0.42807686	1.6908151	56	72
73	NCT02689505	1.2615235	0.42772126	1.6892448	58	73
74	NCT05481658	1.2516242	0.4375747	1.6891989	60	74
75	NCT01746836	1.261938	0.41710222	1.6790402	57	75
76	NCT00428922	1.2413137	0.4248063	1.66612	62	76
77	NCT01227889	1.2418877	0.42222744	1.6641151	61	77
78	NCT01624051	0.93630414	0.71552414	1.6518283	152	78
79	NCT02211443	1.1989779	0.45262283	1.6516007	67	79
80	NCT04267913	1.1551529	0.4904558	1.6456087	79	80
81	NCT02206308	1.1910658	0.44650346	1.6375693	70	81
82	NCT05513703	0.91192257	0.72009236	1.6320149	158	82
83	NCT03334617	1.1438118	0.48064435	1.6244562	86	83
84	NCT01486550	1.2046862	0.41916117	1.6238474	66	84
85	NCT00039377	1.1901988	0.42954108	1.6197399	71	85
86	NCT04708067	1.1808393	0.43647003	1.6173094	73	86
87	NCT03662841	1.1750268	0.44171828	1.616745	75	87
88	NCT01468623	1.155562	0.4494235	1.6049855	78	88
89	NCT02444819	1.1188084	0.47702396	1.5958323	92	89
90	NCT04440865	1.1779729	0.41729426	1.5952671	74	90
91	NCT05917431	1.1486746	0.445886	1.5945606	83	91
92	NCT06166888	1.162532	0.43098605	1.5935181	77	92
93	NCT02565641	1.1534	0.42984936	1.5832494	80	93
94	NCT06223568	1.1307878	0.44799086	1.5787786	88	94
95	NCT01621217	1.1514246	0.42692524	1.5783498	81	95
96	NCT01186939	1.1467096	0.42124903	1.5679586	85	96
97	NCT01499160	1.019891	0.5456002	1.5654912	122	97
98	NCT02629848	0.47771878	1.0855824	1.5633012	297	98
99	NCT01788189	1.1260444	0.43560532	1.5616497	89	99
100	NCT04591028	1.1238468	0.43370104	1.5575478	90	100
101	NCT01963715	1.1215346	0.4225582	1.5440928	91	101
102	NCT01228942	1.1181923	0.415738	1.5339303	93	102
103	NCT06328699	1.0992698	0.42976445	1.5290343	97	103
104	NCT04973293	0.75056161	0.7784369	1.5289985	218	104
105	NCT03083613	1.1104485	0.41754556	1.5279941	95	105
106	NCT04469556	1.0890872	0.43280715	1.5218943	99	106
107	NCT04484636	1.0855856	0.43253684	1.5181225	100	107
108	NCT01045889	1.1039391	0.41101158	1.5149507	96	108
109	NCT01468675	1.0927562	0.4176479	1.5104041	98	109
110	NCT04672928	1.0508748	0.45861447	1.5094893	112	110
111	NCT03435302	1.0854522	0.41604626	1.5014985	101	111
112	NCT05749211	1.0793425	0.41891173	1.4982542	102	112
113	NCT04306900	1.062124	0.43560138	1.4977254	109	113
114	NCT05582499	1.0660003	0.42965528	1.4956556	105	114
115	NCT02340949	1.0656117	0.42795634	1.493568	107	115
116	NCT06152367	1.0687755	0.42463577	1.4934113	104	116
117	NCT01570868	1.0762958	0.41417867	1.4904744	103	117
118	NCT02792491	1.0494412	0.43725127	1.4866925	113	118
119	NCT01444547	1.0646299	0.42201656	1.4866464	108	119
120	NCT01676194	1.0413492	0.44162953	1.4829787	115	120
121	NCT01317212	1.0657992	0.41699848	1.4827976	106	121
122	NCT04582487	1.0292497	0.45283812	1.4820878	118	122
123	NCT04260360	1.059937	0.41766927	1.4776062	110	123
124	NL64722.031.18	0.853761	0.6207166	1.4744776	176	124
125	NCT01249430	1.0517887	0.4223307	1.4741194	111	125
126	NCT06244992	1.0239703	0.44804552	1.4720158	121	126
127	NCT05433701	1.0301076	0.44162953	1.4717372	117	127
128	NCT05557708	1.0252515	0.4462787	1.4715302	120	128
129	NCT03289819	0.99963298	0.46839935	1.4680323	127	129
130	NCT06391918	1.0263788	0.43560138	1.4619802	119	130
131	NCT02821182	1.043981	0.41604626	1.4600273	114	131
132	NCT05322330	0.9774018	0.4804221	1.4578239	138	132
133	NCT02853188	1.0081422	0.44667593	1.4548182	124	133
134	NCT04323605	1.0120317	0.43855488	1.4505866	123	134
135	NCT05499715	0.99491063	0.44666612	1.4415768	128	135
136	NCT05114915	1.0043861	0.4289689	1.433355	126	136
137	NCT04887025	0.99353261	0.43898842	1.432521	129	137
138	NCT02753140	0.99121117	0.44111288	1.4323241	130	138
139	NCT01335074	0.98307289	0.44162953	1.4247024	135	139
140	NCT01948843	0.98605803	0.43558174	1.4216398	134	140
141	NCT04522323	0.98682571	0.4312033	1.418029	133	141
142	NCT05741294	1.0057327	0.41219032	1.417923	125	142
143	NCT02232152	0.98214542	0.43161172	1.4137571	137	143
144	NCT04040699	0.98702929	0.4180867	1.405116	132	144
145	NCT03558191	0.96920269	0.43388915	1.4030918	139	145
146	NCT02087475	0.96826978	0.43395504	1.4022248	140	146
147	NCT05384691	0.98273666	0.4160296	1.3987663	136	147
148	NCT03586661	0.92865888	0.46590692	1.3945658	153	148
149	NCT03184090	0.93890776	0.45316595	1.3920737	151	149
150	NCT02841800	0.96619962	0.42548993	1.3916896	141	150
151	NCT02507804	0.9652392	0.42222744	1.3874666	142	151
152	NCT04088786	0.95857318	0.42828873	1.3868619	143	152
153	NCT06454578	0.80691265	0.5780812	1.3849938	197	153
154	NCT05035914	0.958027	0.4262117	1.3842387	144	154
155	NCT05749042	0.95479996	0.4285642	1.3833642	145	155
156	NCT01362296	0.75638733	0.6212427	1.37763	215	156
157	NCT01644253	0.9414794	0.43350622	1.3749856	149	157
158	NCT04109937	0.95446418	0.4205017	1.3749659	146	158
159	NCT05555199	0.91968211	0.45257622	1.3722583	155	159
160	NCT02800473	0.93958006	0.4269809	1.366561	150	160
161	NCT04113863	0.94214694	0.42223728	1.3643842	148	161
162	NCT05683704	0.91983127	0.43175685	1.3515881	154	162
163	NCT06236360	0.9170517	0.43118057	1.3482323	156	163
164	NCT04588064	0.81276601	0.53073597	1.343502	193	164
165	NCT05666700	0.90936357	0.42649707	1.3358606	159	165
166	NCT01599832	0.913563	0.42143878	1.3350018	157	166
167	NCT04803994	0.81597973	0.51418775	1.3301675	191	167
168	NCT05422521	0.88116877	0.44395202	1.3251208	165	168
169	NCT05546372	0.88341085	0.43226334	1.3156742	164	169
170	NCT01005979	0.88878852	0.42673242	1.3155209	161	170
171	NCT02808416	0.86668306	0.44421822	1.3109013	170	171
172	NCT05378204	0.88557324	0.4248063	1.3103795	162	172
173	NCT02987296	0.8891856	0.41973242	1.308918	160	173
174	NCT04415853	0.88363179	0.42201656	1.3056483	163	174
175	NCT03215030	0.88077789	0.4229445	1.3037224	166	175
176	NCT02461836	0.83786765	0.46328774	1.3011554	181	176
177	NCT01270321	0.80452777	0.49385956	1.2983873	198	177
178	NCT05038813	0.79535618	0.50072837	1.2960845	201	178
179	NCT04318561	0.86564969	0.42907608	1.2947258	171	179
180	NCT02093143	0.87354733	0.4197536	1.2933009	167	180
181	NCT06022770	0.86674627	0.42616194	1.2929082	169	181
182	NCT05969184	0.83593423	0.45574066	1.2916749	182	182
183	NCT05048498	0.86299364	0.42841065	1.2914043	172	183
184	NCT00408499	0.81976094	0.47033697	1.2900979	188	184
185	NCT02227251	0.85219145	0.43725127	1.2894427	177	185
186	NCT02760225	0.70874561	0.58013946	1.2888851	232	186
187	NCT02392676	0.87113264	0.41680333	1.287936	168	187
188	NCT04202640	0.85840599	0.4248063	1.2832123	173	188
189	NCT02789657	0.85670786	0.4248063	1.2815142	174	189
190	NCT05720338	0.85429881	0.42614853	1.2804473	175	190
191	NCT03716596	0.69155253	0.5886462	1.2801987	235	191
192	NCT04274816	0.84937746	0.42788982	1.2772673	178	192
193	NCT01624025	0.82403905	0.44854492	1.272584	185	193
194	NCT04553510	0.84851131	0.41841078	1.2669221	179	194
195	NCT05624918	0.78730368	0.47245085	1.2597545	206	195
196	NCT06088888	0.82073239	0.43166715	1.2523995	187	196
197	NCT04872478	0.83087005	0.4208982	1.2517683	183	197
198	NCT06406556	0.80796019	0.4431061	1.2510663	195	198
199	NCT05043090	0.81715893	0.4288278	1.2459867	189	199
200	NCT02863055	0.80958395	0.4352406	1.2448246	194	200
201	NCT04408638	0.8070776	0.43725127	1.2443289	196	201
