nct_id	score
NCT00004562	1.3677145
NCT00968747	1.3311504
NCT02303730	1.25483
NCT01625533	1.0973177
NCT01887067	0.9429175
NCT04756362	0.89140064
NCT04415853	0.82879055
NCT01865305	0.813083
NCT01700439	0.80340695
NCT03264352	0.7935101
NCT06101758	0.79201376
NCT04691089	0.79084486
NCT02027077	0.7848545
NCT02987296	0.74227726
NCT05692999	0.73799455
NCT03864562	0.7285537
NCT01415011	0.71748036
NCT02837367	0.71710086
NCT04896112	0.7098549
NCT01499160	0.7019109
NCT01711970	0.6964767
NCT02046538	0.694432
NCT00108420	0.6878668
NCT02232152	0.68335867
NCT01335074	0.67884076
NCT03028701	0.67406136
NCT04157491	0.66947275
NCT02284139	0.66512364
NCT02535650	0.6641684
NCT04336982	0.65984917
NCT01927757	0.6597111
NCT05305131	0.65651983
NCT02757326	0.65547985
NCT04305028	0.6553035
NCT01747772	0.65388876
NCT02066285	0.6527485
NCT02007798	0.64417964
NCT01792817	0.64139664
NCT02511665	0.641296
NCT05441761	0.6358613
NCT04940221	0.63351804
NCT06244992	0.6317371
NCT01249430	0.6308227
NCT03606590	0.62910706
NCT03272334	0.62813973
NCT04708067	0.6242661
NCT02395601	0.6238783
NCT02312102	0.6222067
NCT04553510	0.62189126
NCT01270321	0.6216926
NCT03766776	0.62168664
NCT01570868	0.62129873
NCT02009787	0.6196764
NCT05747157	0.6162281
NCT02472964	0.61598694
NCT03083613	0.6159383
NCT04490993	0.61505634
NCT02863055	0.61387205
NCT01158144	0.6116099
NCT04226989	0.611573
NCT02476409	0.60949755
NCT05792735	0.6088938
NCT04602117	0.60833126
NCT06320301	0.6066237
NCT02792491	0.6065519
NCT01168050	0.6056755
NCT01170052	0.60478634
NCT04810936	0.6044897
NCT04175912	0.6032728
NCT03315039	0.5989349
NCT02340949	0.59847504
NCT05666700	0.5983659
NCT05441254	0.5964739
NCT01520870	0.5950682
NCT03104543	0.594769
NCT04115761	0.5943614
NCT05038813	0.59340507
NCT00109265	0.5933186
NCT03558191	0.5918059
NCT03939962	0.58992755
NCT04758000	0.5892838
NCT01048983	0.58773226
NCT02211443	0.5875293
NCT05384691	0.58671457
NCT02071511	0.58656526
NCT02461836	0.5862951
NCT03034915	0.5844011
NCT05035914	0.5842843
NCT01335009	0.5835232
NCT03639181	0.581509
NCT01167530	0.58022964
NCT01674140	0.57918835
NCT01333423	0.578777
NCT01585415	0.5777581
NCT04087018	0.5759312
NCT00408499	0.57435364
NCT01519076	0.5727791
NCT02182622	0.5725442
NCT02611908	0.57143706
NCT04159896	0.5707884
NCT00336648	0.56917864
NCT01444534	0.56854075
NCT04770272	0.56766295
NCT02406170	0.565264
NCT01599832	0.56497383
NCT03716596	0.5636327
NCT04147884	0.56341714
NCT03139487	0.5609067
NCT00979160	0.5600497
NCT04150640	0.5589272
NCT03570138	0.558351
NCT06249048	0.5581779
NCT05336721	0.55418515
NCT02495233	0.55346316
NCT03841565	0.5531384
NCT04025307	0.55060107
NCT02753140	0.54745144
NCT04729725	0.5470766
NCT05114915	0.54639035
NCT04267913	0.5461967
NCT00737971	0.54340124
NCT03289819	0.5423051
NCT03135769	0.54222846
NCT02772588	0.5420812
NCT02629848	0.54177153
NCT00860574	0.5409363
NCT06050980	0.5404541
NCT03331341	0.53934336
NCT04005365	0.53907466
NCT06454578	0.5388841
NCT02561663	0.5379926
NCT05549973	0.5372534
NCT03940378	0.535718
NCT05761951	0.53561836
NCT04847544	0.5338338
NCT00004364	0.5335022
NCT01213277	0.53313386
NCT00752765	0.5315461
NCT05841563	0.53149116
NCT03135925	0.530984
NCT05361720	0.5296029
NCT00669669	0.52639437
NCT02789657	0.52229655
NCT04898543	0.5214447
NCT04659616	0.5211326
NCT03586661	0.5199713
NCT05683704	0.51867974
NCT05972460	0.5173738
NCT03925909	0.51525366
NCT01909791	0.5127296
NCT04803994	0.51020837
NCT04624633	0.51009184
NCT02559479	0.506447
NCT01270841	0.5056143
NCT02227251	0.5041132
NCT02444819	0.50283945
NCT01714102	0.50139344
NCT03794388	0.50032496
NCT04776889	0.49943802
NCT04373031	0.49579
NCT02635074	0.49387574
NCT02437318	0.4930083
NCT01746836	0.4864036
NCT00402727	0.48608923
