rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
1	NCT04226989	0.611573	1.9897824	2.6013554	1	True
2	NCT05035407	0.40070745	1.8096412	2.2103487	2	True
3	NCT06249048	0.5581779	1.6007602	2.1589381	3	True
4	NCT01333423	0.578777	1.4917322	2.0705092	4	True
5	NCT00107536	0.40056044	1.4723058	1.8728663	5	True
6	NCT01711970	0.6964767	1.1319215	1.8283982	12	True
7	NCT06320301	0.6066237	1.213766	1.8203897	8	True
8	NCT03558191	0.5918059	1.1219892	1.7137951	14	True
9	NCT04729725	0.5470766	1.1540091	1.7010857	11	True
10	NCT02232152	0.68335867	1.0057826	1.6891413	23	True
11	NCT01842165	0.40027425	1.241619	1.6418932	6	True
12	NCT02716051	0.3995052	1.2184417	1.6179469	7	True
13	NCT05692999	0.73799455	0.86345554	1.6014501	51	True
14	NCT02206308	0.40747967	1.1923504	1.5998301	9	True
15	NCT02689505	0.39816284	1.1917354	1.5898982	10	True
16	NCT01335074	0.67884076	0.89767201	1.5765128	39	True
17	NCT04801797	0.46039045	1.1118433	1.5722337	15	True
18	NCT05441761	0.6358613	0.9233571	1.5592184	36	True
19	NCT05336721	0.55418515	0.9944147	1.5485998	25	True
20	NCT02987296	0.74227726	0.79854142	1.5408187	70	True
21	NCT02316340	0.41069907	1.1256618	1.5363609	13	True
22	NCT04175912	0.6032728	0.92993911	1.5332119	34	True
23	NCT02681302	0.48208007	1.041265	1.5233451	18	True
24	NCT05747157	0.6162281	0.89338796	1.5096161	41	True
25	NCT01499160	0.7019109	0.79503635	1.4969473	72	True
26	NCT01415011	0.71748036	0.77925235	1.4967327	79	True
27	NCT04624633	0.51009184	0.97442733	1.4845192	28	True
28	NCT05035914	0.5842843	0.89684835	1.4811326	40	True
29	NCT04553510	0.62189126	0.85701884	1.4789101	53	True
30	NCT06223568	0.39824063	1.08053	1.4787707	16	True
31	NCT01264432	0.40842324	1.0687292	1.4771524	17	True
32	NCT04708067	0.6242661	0.84715741	1.4714235	58	True
33	NCT01186939	0.43453437	1.0303146	1.464849	20	True
