rank_in_top_trials	nct_id	second_level_score	first_level_score	combined_score	rank_second_level	rank_combined
1	NCT04226989	1.9897824	0.611573	2.6013554	1	1
2	NCT05035407	1.8096412	0.40070745	2.2103487	2	2
3	NCT06249048	1.6007602	0.5581779	2.1589381	3	3
4	NCT01333423	1.4917322	0.578777	2.0705092	4	4
5	NCT00107536	1.4723058	0.40056044	1.8728663	5	5
6	NCT01711970	1.1319215	0.6964767	1.8283982	12	6
7	NCT06320301	1.213766	0.6066237	1.8203897	8	7
8	NCT03558191	1.1219892	0.5918059	1.7137951	14	8
9	NCT04729725	1.1540091	0.5470766	1.7010857	11	9
10	NCT02232152	1.0057826	0.68335867	1.6891413	23	10
11	NCT01842165	1.241619	0.40027425	1.6418932	6	11
12	NCT02716051	1.2184417	0.3995052	1.6179469	7	12
13	NCT05692999	0.86345554	0.73799455	1.6014501	51	13
14	NCT02206308	1.1923504	0.40747967	1.5998301	9	14
15	NCT02689505	1.1917354	0.39816284	1.5898982	10	15
16	NCT01335074	0.89767201	0.67884076	1.5765128	39	16
17	NCT04801797	1.1118433	0.46039045	1.5722337	15	17
18	NCT05441761	0.9233571	0.6358613	1.5592184	36	18
19	NCT05336721	0.9944147	0.55418515	1.5485998	25	19
20	NCT02987296	0.79854142	0.74227726	1.5408187	70	20
21	NCT02316340	1.1256618	0.41069907	1.5363609	13	21
22	NCT04175912	0.92993911	0.6032728	1.5332119	34	22
23	NCT02681302	1.041265	0.48208007	1.5233451	18	23
24	NCT05747157	0.89338796	0.6162281	1.5096161	41	24
25	NCT01499160	0.79503635	0.7019109	1.4969473	72	25
26	NCT01415011	0.77925235	0.71748036	1.4967327	79	26
27	NCT04624633	0.97442733	0.51009184	1.4845192	28	27
28	NCT05035914	0.89684835	0.5842843	1.4811326	40	28
29	NCT04553510	0.85701884	0.62189126	1.4789101	53	29
30	NCT06223568	1.08053	0.39824063	1.4787707	16	30
31	NCT01264432	1.0687292	0.40842324	1.4771524	17	31
32	NCT04708067	0.84715741	0.6242661	1.4714235	58	32
33	NCT01186939	1.0303146	0.43453437	1.464849	20	33
34	NCT04157491	0.78336792	0.66947275	1.4528407	78	34
35	NCT05996432	1.0397656	0.39745128	1.4372169	19	35
36	NCT05384691	0.84753277	0.58671457	1.4342473	57	36
37	NCT04025307	0.871017	0.55060107	1.4216181	47	37
38	NCT01048983	0.82388542	0.58773226	1.4116177	64	38
39	NCT05741294	1.0088375	0.40008092	1.4089184	22	39
40	NCT01145456	0.94940825	0.4571635	1.4065718	31	40
41	NCT01375569	1.0149766	0.38435972	1.3993364	21	41
42	NCT02473536	0.99547188	0.39882243	1.3942943	24	42
43	NCT05048498	0.96744397	0.4220068	1.3894508	29	43
44	NCT05841563	0.85685528	0.53149116	1.3883464	55	44
45	NCT05653622	0.97800764	0.40393007	1.3819377	27	45
46	NCT05001282	0.98083257	0.39627013	1.3771027	26	46
47	NCT01335009	0.7903403	0.5835232	1.3738635	76	47
48	NCT00680901	0.96587181	0.40695584	1.3728276	30	48
49	NCT00004562	0	1.3677145	1.3677145		49
50	NCT02406170	0.8006452	0.565264	1.3659092	68	50
51	NCT05972460	0.84625699	0.5173738	1.3636308	59	51
52	NCT01158144	0.74946931	0.6116099	1.3610792	90	52
53	NCT05666700	0.76022048	0.5983659	1.3585864	85	53
54	NCT01570868	0.73548759	0.62129873	1.3567863	100	54
55	NCT01676194	0.94371212	0.40400103	1.3477131	32	55
56	NCT03315039	0.74503744	0.5989349	1.3439723	94	56
57	NCT03586661	0.82290974	0.5199713	1.342881	65	57
58	NCT01599832	0.7739627	0.56497383	1.3389365	82	58
59	NCT03331341	0.79329945	0.53934336	1.3326428	74	59
60	NCT02821182	0.93261679	0.3985945	1.3312113	33	60
61	NCT01788189	0.92941891	0.40177572	1.3311946	35	61
62	NCT00968747	0	1.3311504	1.3311504		62
63	NCT01167530	0.74558212	0.58022964	1.3258118	93	63
64	NCT04896112	0.61283544	0.7098549	1.3226903	145	64
65	NCT02227251	0.80570869	0.5041132	1.3098219	66	65
66	NCT03564821	0.90138507	0.4073769	1.308762	38	66
67	NCT02182622	0.73580873	0.5725442	1.3083529	98	67
68	NCT06152367	0.87319456	0.4296463	1.3028409	46	68
69	NCT04490993	0.68339162	0.61505634	1.298448	115	69
70	NCT01227889	0.90199272	0.39124098	1.2932337	37	70
71	NCT01621217	0.89028344	0.3982115	1.2884949	42	71
72	NCT04323605	0.88765886	0.39804912	1.285708	43	72
