rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
1	NCT06320301	10.077345	0.81662814	10.893973	3	True
2	NCT04664478	10.544335	0	10.544335		True
3	NCT04226989	0.4000107	1.1224311	1.5224418	1	True
4	NCT02646384	0.38585204	0.87294425	1.2587963	2	True
5	NCT05830084	0.38487256	0.7108883	1.0957609	4	True
6	NCT04872478	0.39481604	0.65141739	1.0462334	5	True
7	NCT06357377	0.398647	0.64473043	1.0433774	6	True
8	NCT04267913	0.38509363	0.60755629	0.99264992	7	True
9	NCT05747157	0.40554136	0.57098965	0.97653101	8	True
10	NCT04758000	0.38485605	0.4749509	0.85980695	9	True
11	NCT02792491	0.40595624	0.44984668	0.85580292	10	True
12	NCT00860574	0.3940639	0.44002054	0.83408444	11	True
13	NCT03792633	0.4044751	0.32284606	0.72732116	12	True
14	NCT05749211	0.38723528	0.31869679	0.70593207	13	True
15	NCT05475938	0.39505887	0.26271499	0.65777386	14	True
16	NCT01700673	0.40504766	0.18756396	0.59261162	15	True
17	NCT01010672	0.39536792	0.17136861	0.56673653	16	True
18	NCT05305131	0.41679403	0.13830762	0.55510165	18	True
19	NCT05844683	0.38848665	0.16041059	0.54889724	17	True
20	NCT05348187	0.394306	0.116939	0.511245	19	True
21	NCT03703271	0.40193206	0.104049	0.50598106	21	True
22	NCT05562193	0.39602885	0.10833475	0.5043636	20	True
23	NCT02807883	0.40515676	0.076570899	0.48172766	23	True
24	NCT03900299	0.39310172	0.078527831	0.47162955	22	True
25	NCT03027739	0.40515676	0.059779678	0.46493644	24	True
26	NCT02438865	0.39559618	0.05675879	0.45235497	25	True
27	NCT03768310	0.40524292	0.044623815	0.44986673	26	True
28	NCT02165995	0.3983821	0.034105964	0.43248806	28	True
29	NCT03889483	0.3932973	0.0384254	0.4317227	27	True
30	NCT04017728	0.41026133	0.01976327	0.4300246	29	True
31	NCT02408523	0.42329776	0	0.42329776		True
32	NCT00001371	0.41983035	0	0.41983035		True
33	NCT01573286	0.41955408	0	0.41955408		True
34	NCT02628808	0.41338527	0	0.41338527		True
35	NCT03557879	0.41294074	0	0.41294074		True
36	NCT02613078	0.41268092	0	0.41268092		True
37	NCT04415983	0.41218582	0	0.41218582		True
38	NCT03333863	0.41160667	0	0.41160667		True
39	NCT04012658	0.4111126	0	0.4111126		True
40	NCT03903614	0.41023147	0	0.41023147		True
41	NCT04201002	0.4100489	0	0.4100489		True
42	NCT02837367	0.4091168	0	0.4091168		True
43	NCT00004364	0.40811607	0	0.40811607		True
44	NCT03945552	0.40769127	0	0.40769127		True
45	NCT01156818	0.40761822	0	0.40761822		True
46	NCT01712646	0.40721634	0	0.40721634		True
47	NCT00581126	0.40571415	0	0.40571415		True
48	NCT02216552	0.40550083	0	0.40550083		True
49	NCT04286451	0.4045006	0	0.4045006		True
50	NCT01803113	0.40432626	0	0.40432626		True
51	NCT01465841	0.4040386	0	0.4040386		True
52	NCT03666052	0.4036409	0	0.4036409		True
53	NCT02712138	0.40254915	0	0.40254915		True
54	NCT02251665	0.40251744	0	0.40251744		True
55	NCT03988764	0.40194464	0	0.40194464		True
56	NCT02434575	0.40185153	0	0.40185153		True
57	NCT00294463	0.4014511	0	0.4014511		True
58	NCT03895281	0.4010716	0	0.4010716		True
59	NCT02579720	0.400025	0	0.400025		True
60	NCT05700799	0.3974952	0.0024407364	0.39993594	30	True
61	NCT00524888	0.39985508	0	0.39985508		True
62	NCT02583763	0.39969224	0	0.39969224		True
63	NCT01531439	0.39952588	0	0.39952588		False
64	NCT04518709	0.39927882	0	0.39927882		False
65	NCT04133662	0.39833012	0	0.39833012		False
66	NCT04771910	0.3981455	0	0.3981455		False
67	NCT02530294	0.39808753	0	0.39808753		False
68	NCT02530281	0.39808753	0	0.39808753		False
69	NCT02790827	0.3975424	0	0.3975424		False
70	NCT00057694	0.3969089	0	0.3969089		False
71	NCT02722772	0.3965643	0	0.3965643		False
72	NCT02484638	0.39595956	0	0.39595956		False
73	NCT00651768	0.3959499	0	0.3959499		False
74	NCT01509183	0.3959499	0	0.3959499		False
75	NCT02650622	0.39581206	0	0.39581206		False
76	NCT01074645	0.3953786	0	0.3953786		False
77	NCT02616614	0.39528784	0	0.39528784		False
78	NCT00706433	0.39528784	0	0.39528784		False
79	NCT02000180	0.39317304	0.00093935286	0.39411239	31	False
80	NCT04669145	0.39326027	0	0.39326027		False
81	NCT03969459	0.39314413	0	0.39314413		False
82	NCT04691089	0.39308923	0	0.39308923		False
83	NCT00966498	0.38997352	0	0.38997352		False
84	NCT01158248	0.38904953	0	0.38904953		False
85	NCT00005837	0.38904953	0	0.38904953		False
86	NCT02153034	0.38901457	0	0.38901457		False
87	NCT00368004	0.38786143	0	0.38786143		False
88	NCT03216031	0.37951994	0	0.37951994		False
89	NCT04448145	0.36236298	0	0.36236298		False
