rank_in_top_trials	nct_id	second_level_score	first_level_score	combined_score	rank_second_level	rank_combined
1	NCT06320301	0.81662814	10.077345	10.893973	3	1
2	NCT04664478	0	10.544335	10.544335		2
3	NCT04226989	1.1224311	0.4000107	1.5224418	1	3
4	NCT02646384	0.87294425	0.38585204	1.2587963	2	4
5	NCT05830084	0.7108883	0.38487256	1.0957609	4	5
6	NCT04872478	0.65141739	0.39481604	1.0462334	5	6
7	NCT06357377	0.64473043	0.398647	1.0433774	6	7
8	NCT04267913	0.60755629	0.38509363	0.99264992	7	8
9	NCT05747157	0.57098965	0.40554136	0.97653101	8	9
10	NCT04758000	0.4749509	0.38485605	0.85980695	9	10
11	NCT02792491	0.44984668	0.40595624	0.85580292	10	11
12	NCT00860574	0.44002054	0.3940639	0.83408444	11	12
13	NCT03792633	0.32284606	0.4044751	0.72732116	12	13
14	NCT05749211	0.31869679	0.38723528	0.70593207	13	14
15	NCT05475938	0.26271499	0.39505887	0.65777386	14	15
16	NCT01700673	0.18756396	0.40504766	0.59261162	15	16
17	NCT01010672	0.17136861	0.39536792	0.56673653	16	17
18	NCT05305131	0.13830762	0.41679403	0.55510165	18	18
19	NCT05844683	0.16041059	0.38848665	0.54889724	17	19
20	NCT05348187	0.116939	0.394306	0.511245	19	20
21	NCT03703271	0.104049	0.40193206	0.50598106	21	21
22	NCT05562193	0.10833475	0.39602885	0.5043636	20	22
23	NCT02807883	0.076570899	0.40515676	0.48172766	23	23
24	NCT03900299	0.078527831	0.39310172	0.47162955	22	24
25	NCT03027739	0.059779678	0.40515676	0.46493644	24	25
26	NCT02438865	0.05675879	0.39559618	0.45235497	25	26
27	NCT03768310	0.044623815	0.40524292	0.44986673	26	27
28	NCT02165995	0.034105964	0.3983821	0.43248806	28	28
29	NCT03889483	0.0384254	0.3932973	0.4317227	27	29
30	NCT04017728	0.01976327	0.41026133	0.4300246	29	30
31	NCT02408523	0	0.42329776	0.42329776		31
32	NCT00001371	0	0.41983035	0.41983035		32
33	NCT01573286	0	0.41955408	0.41955408		33
34	NCT02628808	0	0.41338527	0.41338527		34
35	NCT03557879	0	0.41294074	0.41294074		35
36	NCT02613078	0	0.41268092	0.41268092		36
37	NCT04415983	0	0.41218582	0.41218582		37
38	NCT03333863	0	0.41160667	0.41160667		38
39	NCT04012658	0	0.4111126	0.4111126		39
40	NCT03903614	0	0.41023147	0.41023147		40
41	NCT04201002	0	0.4100489	0.4100489		41
42	NCT02837367	0	0.4091168	0.4091168		42
43	NCT00004364	0	0.40811607	0.40811607		43
44	NCT03945552	0	0.40769127	0.40769127		44
45	NCT01156818	0	0.40761822	0.40761822		45
46	NCT01712646	0	0.40721634	0.40721634		46
47	NCT00581126	0	0.40571415	0.40571415		47
48	NCT02216552	0	0.40550083	0.40550083		48
49	NCT04286451	0	0.4045006	0.4045006		49
50	NCT01803113	0	0.40432626	0.40432626		50
51	NCT01465841	0	0.4040386	0.4040386		51
52	NCT03666052	0	0.4036409	0.4036409		52
53	NCT02712138	0	0.40254915	0.40254915		53
54	NCT02251665	0	0.40251744	0.40251744		54
55	NCT03988764	0	0.40194464	0.40194464		55
56	NCT02434575	0	0.40185153	0.40185153		56
57	NCT00294463	0	0.4014511	0.4014511		57
58	NCT03895281	0	0.4010716	0.4010716		58
59	NCT02579720	0	0.400025	0.400025		59
60	NCT05700799	0.0024407364	0.3974952	0.39993594	30	60
61	NCT00524888	0	0.39985508	0.39985508		61
62	NCT02583763	0	0.39969224	0.39969224		62
