rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
1	NCT00013741	1.26444	0.77440425	2.0388442	14	True
2	NCT00001460	0.7948868	1.2255103	2.0203971	2	True
3	NCT00000620	1.225488	0.78602345	2.0115114	12	True
4	NCT00004266	0.9612168	1.0125946	1.9738114	5	True
5	NCT00001400	0.43184245	1.4904662	1.9223087	1	True
6	NCT00000161	1.1509552	0.74542836	1.8963836	15	True
7	NCT00004562	1.2713897	0.58229959	1.8536893	27	True
8	NCT00006305	1.1773014	0.63625128	1.8135527	22	True
9	NCT00043784	1.373128	0.36173496	1.734863	53	True
10	NCT00006501	1.1049498	0.58499992	1.6899497	26	True
11	NCT00004734	1.3272772	0.32066761	1.6479448	58	True
12	NCT00001458	0.7064097	0.9131532	1.6195629	7	True
13	NCT00000150	0.4040544	1.1994101	1.6034645	3	True
14	NCT00001402	0.9459572	0.62794751	1.5739047	23	True
15	NCT00041938	0.9162556	0.65633026	1.5725859	20	True
16	NCT00043940	0.5695856	1.000592	1.5701776	6	True
17	NCT00043628	1.138845	0.41853138	1.5573764	42	True
18	NCT00001628	0.9801884	0.55571523	1.5359036	31	True
19	NCT00032643	0.69248044	0.8403318	1.5328122	9	True
20	NCT00001528	1.0212094	0.50993923	1.5311486	35	True
21	NCT00001886	0.8781851	0.59537482	1.4735599	24	True
22	NCT00000526	1.2705303	0.18805949	1.4585898	74	True
23	NCT00000492	1.449288	0	1.449288		True
24	NCT00001895	0.8414114	0.58817339	1.4295848	25	True
25	NCT00000714	0.3850698	1.0180571	1.4031269	4	True
26	NCT00004809	1.3301127	0.056691497	1.3868042	97	True
27	NCT00027287	0.5189701	0.8241478	1.3431179	10	True
28	NCT00001936	0.4172032	0.87764141	1.2948446	8	True
29	NCT00006071	0.78755814	0.4758713	1.2634294	39	True
30	NCT00004732	1.0085683	0.22813328	1.2367016	67	True
31	NCT00000524	0.4420029	0.77760775	1.2196107	13	True
32	NCT00006432	0.51691955	0.69343517	1.2103547	16	True
33	NCT00004728	0.6559738	0.5359218	1.1918956	33	True
