rank_in_top_trials	nct_id	second_level_score	first_level_score	combined_score	rank_second_level	rank_combined
1	NCT00013741	0.77440425	1.26444	2.0388442	14	1
2	NCT00001460	1.2255103	0.7948868	2.0203971	2	2
3	NCT00000620	0.78602345	1.225488	2.0115114	12	3
4	NCT00004266	1.0125946	0.9612168	1.9738114	5	4
5	NCT00001400	1.4904662	0.43184245	1.9223087	1	5
6	NCT00000161	0.74542836	1.1509552	1.8963836	15	6
7	NCT00004562	0.58229959	1.2713897	1.8536893	27	7
8	NCT00006305	0.63625128	1.1773014	1.8135527	22	8
9	NCT00043784	0.36173496	1.373128	1.734863	53	9
10	NCT00006501	0.58499992	1.1049498	1.6899497	26	10
11	NCT00004734	0.32066761	1.3272772	1.6479448	58	11
12	NCT00001458	0.9131532	0.7064097	1.6195629	7	12
13	NCT00000150	1.1994101	0.4040544	1.6034645	3	13
14	NCT00001402	0.62794751	0.9459572	1.5739047	23	14
15	NCT00041938	0.65633026	0.9162556	1.5725859	20	15
16	NCT00043940	1.000592	0.5695856	1.5701776	6	16
17	NCT00043628	0.41853138	1.138845	1.5573764	42	17
18	NCT00001628	0.55571523	0.9801884	1.5359036	31	18
19	NCT00032643	0.8403318	0.69248044	1.5328122	9	19
20	NCT00001528	0.50993923	1.0212094	1.5311486	35	20
21	NCT00001886	0.59537482	0.8781851	1.4735599	24	21
22	NCT00000526	0.18805949	1.2705303	1.4585898	74	22
23	NCT00000492	0	1.449288	1.449288		23
24	NCT00001895	0.58817339	0.8414114	1.4295848	25	24
25	NCT00000714	1.0180571	0.3850698	1.4031269	4	25
26	NCT00004809	0.056691497	1.3301127	1.3868042	97	26
27	NCT00027287	0.8241478	0.5189701	1.3431179	10	27
28	NCT00001936	0.87764141	0.4172032	1.2948446	8	28
29	NCT00006071	0.4758713	0.78755814	1.2634294	39	29
30	NCT00004732	0.22813328	1.0085683	1.2367016	67	30
31	NCT00000524	0.77760775	0.4420029	1.2196107	13	31
32	NCT00006432	0.69343517	0.51691955	1.2103547	16	32
33	NCT00004728	0.5359218	0.6559738	1.1918956	33	33
34	NCT00001971	0.79647039	0.38531035	1.1817807	11	34
35	NCT00001313	0.34779267	0.79048437	1.138277	56	35
36	NCT00029146	0.3838009	0.70808613	1.091887	50	36
37	NCT00009243	0.67087732	0.41956115	1.0904385	17	37
38	NCT00000619	0.65390122	0.42765653	1.0815578	21	38
39	NCT00000125	0.66709986	0.4129209	1.0800208	19	39
