nct_id	score
NCT00000492	1.5151488
NCT00004809	1.4850811
NCT00004562	1.3898555
NCT00000620	1.3480226
NCT00043784	1.3415484
NCT00013741	1.3233676
NCT00006305	1.3147107
NCT00000526	1.2990373
NCT00006501	1.2746696
NCT00004734	1.2615261
NCT00043628	1.2471377
NCT00000161	1.1953462
NCT00000468	1.1122994
NCT00001528	1.0734
NCT00000152	1.0280455
NCT00001628	1.0017189
NCT00001402	1.0007336
NCT00004266	0.9640889
NCT00001204	0.9454603
NCT00041938	0.9284876
NCT00001886	0.92039186
NCT00004732	0.9164076
NCT00001313	0.8824651
NCT00006071	0.8822711
NCT00000599	0.8759646
NCT00001895	0.85861474
NCT00000479	0.8556269
NCT00000555	0.8356055
NCT00001460	0.7951765
NCT00000419	0.78232515
NCT00001622	0.7800328
NCT00029146	0.77328014
NCT00001458	0.77290094
NCT00000461	0.76390094
NCT00000502	0.75229335
NCT00001742	0.72090816
NCT00000531	0.71072376
NCT00032643	0.69267315
NCT00005313	0.69059396
NCT00045981	0.6836751
NCT00005251	0.67018384
NCT00004728	0.6664574
NCT00000525	0.617465
NCT00000362	0.6135829
NCT00005536	0.61182225
NCT00000518	0.5851609
NCT00006159	0.5830159
NCT00000598	0.5820515
NCT00000173	0.578131
NCT00043940	0.569708
NCT00001633	0.5694583
NCT00001859	0.54895604
NCT00015626	0.54825306
NCT00027287	0.54730135
NCT00006432	0.5430019
NCT00004983	0.5430019
NCT00018486	0.54290754
NCT00000559	0.53938174
NCT00001987	0.5365113
NCT00031239	0.5291855
NCT00006426	0.52879983
NCT00000153	0.51694447
NCT00000539	0.5075299
NCT00005267	0.49866083
NCT00000119	0.4783771
NCT00000361	0.4655838
NCT00000108	0.451242
NCT00000524	0.4420029
NCT00038077	0.44057232
NCT00000151	0.43923703
NCT00001881	0.43432838
NCT00012818	0.43399322
NCT00001400	0.43184245
NCT00005499	0.4291828
NCT00000560	0.4291828
NCT00000619	0.42765653
NCT00000642	0.4231928
NCT00000127	0.42292437
NCT00000126	0.42292437
NCT00001936	0.42146772
NCT00005543	0.42067805
NCT00005351	0.4203146
NCT00009243	0.41956115
NCT00000129	0.41949677
NCT00000513	0.41944563
NCT00000522	0.41944563
NCT00000546	0.41915196
NCT00005136	0.41875702
NCT00000506	0.41807938
NCT00000469	0.4169187
NCT00000167	0.41617507
NCT00000369	0.41447565
NCT00000403	0.41347706
NCT00000425	0.41347706
NCT00000125	0.4129209
NCT00000641	0.41261157
NCT00000644	0.41261157
NCT00000427	0.41004175
NCT00000158	0.40992993
NCT00000562	0.40968627
NCT00000566	0.40913528
NCT00000582	0.40805396
NCT00000574	0.40795994
NCT00006173	0.40787187
NCT00000424	0.40783054
NCT00011258	0.40733355
NCT00000408	0.40641117
NCT00006193	0.4064
NCT00000144	0.40560067
NCT00000588	0.40503493
NCT00000115	0.40499443
NCT00000154	0.40491974
NCT00000150	0.4040544
NCT00000606	0.4038025
NCT00000621	0.4038025
NCT00000577	0.40303808
NCT00000396	0.40260398
NCT00029861	0.40247846
NCT00000137	0.40232486
NCT00000572	0.40205842
NCT00000411	0.401595
NCT00000121	0.4003861
NCT00026702	0.40002817
NCT00000568	0.39937437
NCT00000409	0.39935035
NCT00000437	0.39918458
NCT00000179	0.39787975
NCT00000155	0.39450663
NCT00000410	0.39443082
NCT00000636	0.3942762
NCT00000638	0.3942762
NCT00000678	0.3942709
NCT00000633	0.3942709
NCT00000682	0.3942709
NCT00000706	0.3942709
NCT00000672	0.3942709
NCT00000359	0.39372736
NCT00000124	0.39320862
NCT00000160	0.39209473
NCT00000432	0.3917537
NCT00000105	0.39124098
NCT00000390	0.39091873
NCT00000171	0.3906225
NCT00000665	0.39059013
NCT00000673	0.39059013
NCT00000726	0.39059013
NCT00001971	0.38531035
NCT00000714	0.3850698
NCT00000715	0.3850698
NCT00000724	0.3850698
NCT00000730	0.3850698
NCT00000717	0.3850698
NCT00000740	0.3850698
NCT00000722	0.3850698
NCT00000707	0.3850698
NCT00000748	0.3850698
NCT00000727	0.3850698
NCT00000654	0.379991
