rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
1	NCT00013741	1.3233676	2.3535089	3.6768765	4	True
2	NCT00004266	0.9640889	2.6465974	3.6106863	2	True
3	NCT00027287	0.54730135	2.931311	3.4786124	1	True
4	NCT00001458	0.77290094	2.2591135	3.0320144	5	True
5	NCT00006071	0.8822711	1.9998461	2.8821172	7	True
6	NCT00043784	1.3415484	1.5265272	2.8680756	18	True
7	NCT00000161	1.1953462	1.6680787	2.8634249	11	True
8	NCT00001936	0.42146772	2.4045291	2.8259968	3	True
9	NCT00001460	0.7951765	1.9054829	2.7006594	8	True
10	NCT00032643	0.69267315	2.0079753	2.7006484	6	True
11	NCT00000620	1.3480226	1.3187988	2.6668214	22	True
12	NCT00004562	1.3898555	1.2232178	2.6130733	27	True
13	NCT00001402	1.0007336	1.4946292	2.4953628	19	True
14	NCT00006501	1.2746696	1.1509273	2.4255969	32	True
15	NCT00001742	0.72090816	1.6344971	2.3554052	13	True
16	NCT00001622	0.7800328	1.5723689	2.3524017	15	True
17	NCT00006305	1.3147107	0.99804688	2.3127576	39	True
18	NCT00000714	0.3850698	1.8689644	2.2540342	9	True
19	NCT00001628	1.0017189	1.2458496	2.2475685	25	True
20	NCT00001528	1.0734	1.1237798	2.1971798	34	False
21	NCT00001886	0.92039186	1.2456055	2.1659973	26	False
22	NCT00043940	0.569708	1.5875307	2.1572387	14	False
23	NCT00001895	0.85861474	1.265625	2.1242397	24	False
24	NCT00000150	0.4040544	1.6809245	2.0849789	10	False
25	NCT00001400	0.43184245	1.6482947	2.0801371	12	False
26	NCT00043628	1.2471377	0.81471428	2.061852	50	False
27	NCT00000748	0.3850698	1.5663376	1.9514074	16	False
28	NCT00001971	0.38531035	1.550187	1.9354974	17	False
29	NCT00000598	0.5820515	1.3344048	1.9164563	21	False
30	NCT00000621	0.4038025	1.4772991	1.8811016	20	False
31	NCT00006432	0.5430019	1.3186124	1.8616143	23	False
32	NCT00001313	0.8824651	0.93066406	1.8131292	43	False
33	NCT00001987	0.5365113	1.1975184	1.7340297	30	False
34	NCT00001633	0.5694583	1.1540032	1.7234615	31	False
35	NCT00004728	0.6664574	1.0008545	1.6673119	38	False
36	NCT00000151	0.43923703	1.2064939	1.6457309	29	False
37	NCT00000359	0.39372736	1.2192297	1.6129571	28	False
38	NCT00029146	0.77328014	0.82666016	1.5999403	48	False
39	NCT00000644	0.41261157	1.1244583	1.5370698	33	False
40	NCT00001204	0.9454603	0.57763672	1.523097	56	False
41	NCT00006426	0.52879983	0.99072266	1.5195225	40	False
42	NCT00038077	0.44057232	1.0631348	1.5037071	36	False
43	NCT00000588	0.40503493	1.0805919	1.4856269	35	False
44	NCT00000129	0.41949677	1.0013003	1.420797	37	False
45	NCT00000619	0.42765653	0.97912959	1.4067861	41	False
46	NCT00000524	0.4420029	0.96124599	1.4032489	42	False
47	NCT00000119	0.4783771	0.90722656	1.3856037	44	False
48	NCT00000638	0.3942762	0.88369933	1.2779755	45	False
49	NCT00001881	0.43432838	0.82910156	1.2634299	47	False
50	NCT00000125	0.4129209	0.83632011	1.249241	46	False
51	NCT00000642	0.4231928	0.81738281	1.2405756	49	False
52	NCT00000173	0.578131	0.62988281	1.2080138	53	False
53	NCT00009243	0.41956115	0.65136719	1.0709283	51	False
54	NCT00000672	0.3942709	0.63720703	1.0314779	52	False
55	NCT00000115	0.40499443	0.62255859	1.027553	54	False
56	NCT00000678	0.3942709	0.60742188	1.0016928	55	False
57	NCT00000560	0.4291828	0.5390625	0.9682453	57	False
58	NCT00000155	0.39450663	0.515625	0.91013163	58	False
