rank_in_top_trials	nct_id	second_level_score	first_level_score	combined_score	rank_second_level	rank_combined
1	NCT00013741	2.3535089	1.3233676	3.6768765	4	1
2	NCT00004266	2.6465974	0.9640889	3.6106863	2	2
3	NCT00027287	2.931311	0.54730135	3.4786124	1	3
4	NCT00001458	2.2591135	0.77290094	3.0320144	5	4
5	NCT00006071	1.9998461	0.8822711	2.8821172	7	5
6	NCT00043784	1.5265272	1.3415484	2.8680756	18	6
7	NCT00000161	1.6680787	1.1953462	2.8634249	11	7
8	NCT00001936	2.4045291	0.42146772	2.8259968	3	8
9	NCT00001460	1.9054829	0.7951765	2.7006594	8	9
10	NCT00032643	2.0079753	0.69267315	2.7006484	6	10
11	NCT00000620	1.3187988	1.3480226	2.6668214	22	11
12	NCT00004562	1.2232178	1.3898555	2.6130733	27	12
13	NCT00001402	1.4946292	1.0007336	2.4953628	19	13
14	NCT00006501	1.1509273	1.2746696	2.4255969	32	14
15	NCT00001742	1.6344971	0.72090816	2.3554052	13	15
16	NCT00001622	1.5723689	0.7800328	2.3524017	15	16
17	NCT00006305	0.99804688	1.3147107	2.3127576	39	17
18	NCT00000714	1.8689644	0.3850698	2.2540342	9	18
19	NCT00001628	1.2458496	1.0017189	2.2475685	25	19
