rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
1	NCT00013741	1.2599467	0.57941406	1.8393608	12	True
2	NCT00000161	1.024863	0.60069787	1.6255609	8	True
3	NCT00043784	1.2026167	0.42183213	1.6244488	25	True
4	NCT00000620	1.2148674	0.39893018	1.6137976	27	True
5	NCT00004266	0.94339454	0.65343521	1.5968298	3	True
6	NCT00004562	1.2098236	0.34652747	1.5563511	35	True
7	NCT00006501	1.0894555	0.39295244	1.4824079	28	True
8	NCT00043628	1.0676168	0.37744314	1.4450599	32	True
9	NCT00001460	0.7919445	0.64617953	1.438124	5	True
10	NCT00001402	0.9465875	0.456869	1.4034565	19	True
11	NCT00004734	1.1963465	0.20650092	1.4028474	50	True
12	NCT00006071	0.7789114	0.62003003	1.3989414	7	True
13	NCT00001458	0.61491466	0.75575991	1.3706746	2	True
14	NCT00000492	1.3641254	0	1.3641254		True
15	NCT00004809	1.3138965	0.037959036	1.3518555	93	True
16	NCT00001528	1.000499	0.30954164	1.3100406	37	True
17	NCT00001400	0.43184248	0.79455218	1.2263947	1	True
18	NCT00006305	1.031405	0.15324686	1.1846519	65	True
19	NCT00004728	0.61586815	0.56216587	1.178034	13	True
20	NCT00000598	0.54736435	0.5874538	1.1348182	10	True
21	NCT00001628	0.95235616	0.16510995	1.1174661	61	True
22	NCT00027287	0.5163836	0.59640659	1.1127902	9	True
23	NCT00000555	0.66259694	0.42216922	1.0847662	24	True
24	NCT00001204	0.82968664	0.25505789	1.0847445	43	True
25	NCT00041938	0.90123814	0.18166616	1.0829043	53	True
26	NCT00001313	0.68500066	0.39125207	1.0762527	29	True
27	NCT00032643	0.6368288	0.43607906	1.0729079	20	True
28	NCT00001936	0.41681385	0.64859125	1.0654051	4	True
29	NCT00001742	0.6513503	0.41404517	1.0653955	26	True
30	NCT00001622	0.6975315	0.36551669	1.0630482	34	True
31	NCT00001886	0.8635222	0.17747232	1.0409945	56	True
32	NCT00000714	0.38506982	0.6257334	1.0108032	6	True
33	NCT00001895	0.8377724	0.15995219	0.99772459	63	True
34	NCT00001971	0.38531035	0.58681937	0.97212972	11	True
35	NCT00004732	0.81507	0.14931008	0.96438008	66	True
36	NCT00043940	0.5342339	0.39094648	0.92518038	30	True
37	NCT00029146	0.7437469	0.1723881	0.916135	58	True
38	NCT00000727	0.38506982	0.52266945	0.90773927	14	True
39	NCT00000638	0.39427626	0.50924302	0.90351928	15	True
40	NCT00045981	0.7114005	0.18132479	0.89272529	54	False
41	NCT00000173	0.5123738	0.36805914	0.88043294	33	False
42	NCT00000672	0.3942709	0.48337687	0.87764777	16	False
43	NCT00000621	0.4038025	0.46822317	0.87202567	17	False
44	NCT00001881	0.43432838	0.43529302	0.8696214	21	False
45	NCT00000748	0.38506982	0.45975512	0.84482494	18	False
46	NCT00001633	0.5359825	0.28594957	0.82193207	39	False
47	NCT00000724	0.38506982	0.43034224	0.81541206	22	False
48	NCT00000722	0.38506982	0.42776468	0.8128345	23	False
49	NCT00006432	0.5145384	0.28972815	0.80426655	38	False
50	NCT00009243	0.41956118	0.38436087	0.80392205	31	False
51	NCT00000419	0.6984722	0.10378615	0.80225835	71	False
52	NCT00001987	0.5080478	0.27390257	0.78195037	42	False
53	NCT00038077	0.44057232	0.28390479	0.72447711	40	False
54	NCT00000678	0.3942709	0.3299818	0.7242527	36	False
55	NCT00000403	0.41347706	0.27778594	0.691263	41	False
56	NCT00000125	0.4129209	0.23790873	0.65082963	46	False
57	NCT00000619	0.42765653	0.2127838	0.64044033	49	False
58	NCT00000717	0.38506982	0.25469459	0.63976441	44	False
59	NCT00000644	0.41261154	0.21998514	0.63259668	48	False
60	NCT00000359	0.39372736	0.23286094	0.6265883	47	False
61	NCT00000715	0.38506982	0.23907292	0.62414274	45	False
62	NCT00005251	0.6192924	0	0.6192924		False
63	NCT00000642	0.41559643	0.18394154	0.59953797	52	False
64	NCT00001859	0.5180382	0.078935532	0.59697373	76	False
65	NCT00004983	0.5145384	0.078849523	0.59338792	77	False
66	NCT00000730	0.38506982	0.19829711	0.58336693	51	False
67	NCT00018486	0.5119898	0.067666834	0.57965663	85	False
68	NCT00000150	0.4040544	0.172664	0.5767184	57	False
69	NCT00005536	0.5709769	0	0.5709769		False
70	NCT00000437	0.39918458	0.16774916	0.56693374	59	False
71	NCT00000115	0.40499446	0.15810127	0.56309573	64	False
72	NCT00006159	0.5413101	0.020971658	0.56228176	97	False
