rank_in_top_trials	nct_id	second_level_score	first_level_score	combined_score	rank_second_level	rank_combined
1	NCT00013741	0.57941406	1.2599467	1.8393608	12	1
2	NCT00000161	0.60069787	1.024863	1.6255609	8	2
3	NCT00043784	0.42183213	1.2026167	1.6244488	25	3
4	NCT00000620	0.39893018	1.2148674	1.6137976	27	4
5	NCT00004266	0.65343521	0.94339454	1.5968298	3	5
6	NCT00004562	0.34652747	1.2098236	1.5563511	35	6
7	NCT00006501	0.39295244	1.0894555	1.4824079	28	7
8	NCT00043628	0.37744314	1.0676168	1.4450599	32	8
9	NCT00001460	0.64617953	0.7919445	1.438124	5	9
10	NCT00001402	0.456869	0.9465875	1.4034565	19	10
11	NCT00004734	0.20650092	1.1963465	1.4028474	50	11
12	NCT00006071	0.62003003	0.7789114	1.3989414	7	12
13	NCT00001458	0.75575991	0.61491466	1.3706746	2	13
14	NCT00000492	0	1.3641254	1.3641254		14
15	NCT00004809	0.037959036	1.3138965	1.3518555	93	15
16	NCT00001528	0.30954164	1.000499	1.3100406	37	16
17	NCT00001400	0.79455218	0.43184248	1.2263947	1	17
18	NCT00006305	0.15324686	1.031405	1.1846519	65	18
19	NCT00004728	0.56216587	0.61586815	1.178034	13	19
20	NCT00000598	0.5874538	0.54736435	1.1348182	10	20
21	NCT00001628	0.16510995	0.95235616	1.1174661	61	21
22	NCT00027287	0.59640659	0.5163836	1.1127902	9	22
23	NCT00000555	0.42216922	0.66259694	1.0847662	24	23
24	NCT00001204	0.25505789	0.82968664	1.0847445	43	24
25	NCT00041938	0.18166616	0.90123814	1.0829043	53	25
26	NCT00001313	0.39125207	0.68500066	1.0762527	29	26
27	NCT00032643	0.43607906	0.6368288	1.0729079	20	27
28	NCT00001936	0.64859125	0.41681385	1.0654051	4	28
29	NCT00001742	0.41404517	0.6513503	1.0653955	26	29
30	NCT00001622	0.36551669	0.6975315	1.0630482	34	30
31	NCT00001886	0.17747232	0.8635222	1.0409945	56	31
32	NCT00000714	0.6257334	0.38506982	1.0108032	6	32
33	NCT00001895	0.15995219	0.8377724	0.99772459	63	33
34	NCT00001971	0.58681937	0.38531035	0.97212972	11	34
35	NCT00004732	0.14931008	0.81507	0.96438008	66	35
36	NCT00043940	0.39094648	0.5342339	0.92518038	30	36
37	NCT00029146	0.1723881	0.7437469	0.916135	58	37
38	NCT00000727	0.52266945	0.38506982	0.90773927	14	38
39	NCT00000638	0.50924302	0.39427626	0.90351928	15	39
