rank_combined	nct_id	first_level_score	second_level_score	combined_score	rank_second_level	selected_for_top_trials_txt
1	NCT00004888	0.48420417	2.1391415	2.6233457	1	True
2	NCT00016094	0.52615106	1.8471522	2.3733032	4	True
3	NCT00005831	0.4633649	1.8730931	2.336458	3	True
4	NCT00012376	0.41473407	1.8783411	2.2930752	2	True
5	NCT00017394	0.6666631	1.5781171	2.2447802	8	True
6	NCT00024154	0.3893159	1.6972114	2.0865273	5	True
7	NCT00028535	0.50022656	1.5384937	2.0387202	10	True
8	NCT00015834	0.4133141	1.6110004	2.0243145	6	True
9	NCT00029003	0.39935964	1.5930457	1.9924053	7	True
10	NCT00003694	0.41047502	1.5493795	1.9598545	9	True
11	NCT00045201	0.38986605	1.538285	1.9281511	11	True
12	NCT00006089	0.73369884	1.1545371	1.8882359	17	True
13	NCT00040105	0.41909218	1.4264011	1.8454933	13	True
14	NCT00003970	0.38619322	1.4374593	1.8236525	12	True
15	NCT00017472	0.5782301	1.1851033	1.7633334	15	True
16	NCT00023764	0.67657006	0.93614255	1.6127126	23	True
17	NCT00041106	0.40045512	1.1978224	1.5982775	14	True
18	NCT00045942	0.42287368	1.1677081	1.5905818	16	True
19	NCT00031655	0.39855987	1.1382778	1.5368377	18	False
20	NCT00010192	0.4799962	1.0534923	1.5334885	19	False
21	NCT00006228	0.41943944	1.0360388	1.4554782	20	False
22	NCT00042809	0.5446426	0.89663582	1.4412784	24	False
23	NCT00038402	0.40285733	1.032242	1.4350993	21	False
24	NCT00003659	0.3987823	0.95419201	1.3529743	22	False
25	NCT00039377	0.4048492	0.88976497	1.2946142	25	False
26	NCT00031681	0.40705982	0.88049853	1.2875584	26	False
27	NCT00006363	0.40008616	0.87903777	1.2791239	27	False
28	NCT00040846	0.4203549	0.85789206	1.278247	28	False
29	NCT00043394	0.6459388	0.617818	1.2637568	33	False
30	NCT00045396	0.41108072	0.81224839	1.2233291	29	False
31	NCT00027027	0.5527583	0.64135516	1.1941135	31	False
32	NCT00031278	0.7015653	0.46764769	1.169213	43	False
33	NCT00034281	0.5696404	0.58060232	1.1502427	35	False
34	NCT00033371	0.69299793	0.44513541	1.1381333	44	False
35	NCT00027586	0.52949905	0.54428621	1.0737853	36	False
36	NCT00045305	0.4152708	0.64605031	1.0613211	30	False
37	NCT00002968	0.4003204	0.63001492	1.0303353	32	False
38	NCT00028756	0.39486334	0.60058747	0.99545081	34	False
39	NCT00004163	0.42114043	0.53641911	0.95755954	37	False
40	NCT00038051	0.42182416	0.52890669	0.95073085	39	False
41	NCT00045032	0.40285733	0.53010497	0.9329623	38	False
42	NCT00044733	0.4284677	0.4756682	0.9041359	42	False
43	NCT00004067	0.47439697	0.41200957	0.88640654	45	False
44	NCT00033514	0.40285733	0.47982485	0.88268218	41	False
45	NCT00003145	0.4830423	0.39873834	0.88178064	46	False
46	NCT00014235	0.38273495	0.49184512	0.87458007	40	False
47	NCT00008177	0.53435946	0.32040649	0.85476595	50	False
48	NCT00022945	0.4093395	0.38455103	0.79389053	47	False
49	NCT00044863	0.39842454	0.36637504	0.76479958	48	False
50	NCT00036738	0.4049252	0.32523712	0.73016232	49	False
51	NCT00027560	0.4144696	0.2453968	0.6598664	52	False
52	NCT00008697	0.3987823	0.25811962	0.65690192	51	False
53	NCT00045435	0.41337055	0.2403792	0.65374975	54	False
54	NCT00003875	0.40670013	0.2417192	0.64841933	53	False
55	NCT00005799	0.391711	0.16944379	0.56115479	55	False
