rank_in_top_trials	nct_id	second_level_score	first_level_score	combined_score	rank_second_level	rank_combined
1	NCT00004888	2.1391415	0.48420417	2.6233457	1	1
2	NCT00016094	1.8471522	0.52615106	2.3733032	4	2
3	NCT00005831	1.8730931	0.4633649	2.336458	3	3
4	NCT00012376	1.8783411	0.41473407	2.2930752	2	4
5	NCT00017394	1.5781171	0.6666631	2.2447802	8	5
6	NCT00024154	1.6972114	0.3893159	2.0865273	5	6
7	NCT00028535	1.5384937	0.50022656	2.0387202	10	7
8	NCT00015834	1.6110004	0.4133141	2.0243145	6	8
9	NCT00029003	1.5930457	0.39935964	1.9924053	7	9
10	NCT00003694	1.5493795	0.41047502	1.9598545	9	10
11	NCT00045201	1.538285	0.38986605	1.9281511	11	11
12	NCT00006089	1.1545371	0.73369884	1.8882359	17	12
13	NCT00040105	1.4264011	0.41909218	1.8454933	13	13
14	NCT00003970	1.4374593	0.38619322	1.8236525	12	14
15	NCT00017472	1.1851033	0.5782301	1.7633334	15	15
16	NCT00023764	0.93614255	0.67657006	1.6127126	23	16
17	NCT00041106	1.1978224	0.40045512	1.5982775	14	17
18	NCT00045942	1.1677081	0.42287368	1.5905818	16	18
